ADM_CD,버스 정류장 수,지하철역 수,총 대중교통 수
11010530,32,2.0,34.0
11010540,17,0.0,17.0
11010550,34,0.0,34.0
11010560,54,0.0,54.0
11010570,4,0.0,4.0
11010580,22,0.0,22.0
11010600,21,0.0,21.0
11010610,68,5.0,73.0
11010630,18,2.0,20.0
11010640,20,1.0,21.0
11010670,8,2.0,10.0
11010680,1,0.0,1.0
11010690,6,1.0,7.0
11010700,12,1.0,13.0
11010710,8,0.0,8.0
11010720,30,0.0,30.0
11010730,38,0.0,38.0
11020520,40,3.0,43.0
11020540,34,6.0,40.0
11020550,29,1.0,30.0
11020570,10,2.0,12.0
11020580,13,1.0,14.0
11020590,24,3.0,27.0
11020600,17,4.0,21.0
11020650,8,1.0,9.0
11020670,7,0.0,7.0
11020680,10,0.0,10.0
11020690,8,2.0,10.0
11020700,8,2.0,10.0
11020710,12,2.0,14.0
11020720,5,0.0,5.0
11020730,4,0.0,4.0
11030510,16,0.0,16.0
11030520,27,1.0,28.0
11030530,21,4.0,25.0
11030570,22,0.0,22.0
11030580,15,0.0,15.0
11030590,17,2.0,19.0
11030630,21,0.0,21.0
11030640,11,0.0,11.0
11030650,15,1.0,16.0
11030660,21,0.0,21.0
11030690,24,1.0,25.0
11030700,13,0.0,13.0
11030710,24,0.0,24.0
11030720,23,0.0,23.0
11030730,42,6.0,48.0
11030740,43,2.0,45.0
11040520,12,1.0,13.0
11040540,28,1.0,29.0
11040550,40,2.0,42.0
11040560,26,3.0,29.0
11040570,25,1.0,26.0
11040580,33,1.0,34.0
11040590,39,1.0,40.0
11040620,30,1.0,31.0
11040650,32,1.0,33.0
11040660,12,1.0,13.0
11040670,30,0.0,30.0
11040680,21,1.0,22.0
11040690,13,0.0,13.0
11040700,11,3.0,14.0
11040710,26,0.0,26.0
11040720,38,0.0,38.0
11040730,40,2.0,42.0
11050530,20,2.0,22.0
11050540,22,0.0,22.0
11050550,18,0.0,18.0
11050560,18,0.0,18.0
11050570,21,1.0,22.0
11050580,34,0.0,34.0
11050590,9,3.0,12.0
11050600,13,1.0,14.0
11050610,21,1.0,22.0
11050620,23,1.0,24.0
11050630,38,1.0,39.0
11050640,13,0.0,13.0
11050650,17,0.0,17.0
11050660,19,0.0,19.0
11050670,12,1.0,13.0
11060710,10,0.0,10.0
11060720,13,1.0,14.0
11060730,18,0.0,18.0
11060800,24,0.0,24.0
11060810,38,5.0,43.0
11060820,27,1.0,28.0
11060830,31,2.0,33.0
11060840,12,0.0,12.0
11060860,20,0.0,20.0
11060870,27,0.0,27.0
11060880,33,0.0,33.0
11060890,27,1.0,28.0
11060900,11,1.0,12.0
11060910,27,0.0,27.0
11070520,23,0.0,23.0
11070540,13,1.0,14.0
11070550,11,0.0,11.0
11070570,18,0.0,18.0
11070590,13,2.0,15.0
11070600,18,1.0,19.0
11070610,14,0.0,14.0
11070620,28,2.0,30.0
11070640,32,0.0,32.0
11070650,20,1.0,21.0
11070680,11,0.0,11.0
11070690,53,1.0,54.0
11070700,19,0.0,19.0
11070710,28,1.0,29.0
11070720,30,1.0,31.0
11070730,56,3.0,59.0
11080580,14,0.0,14.0
11080590,34,0.0,34.0
11080600,31,1.0,32.0
11080610,9,2.0,11.0
11080620,16,1.0,17.0
11080630,46,0.0,46.0
11080640,32,0.0,32.0
11080650,34,1.0,35.0
