시도명칭,시군구명칭,읍면동명칭,버스 정류장 수,지하철역 수,총 대중교통 수
서울특별시,종로구,사직동,32,2,34
서울특별시,종로구,삼청동,17,0,17
서울특별시,종로구,부암동,34,0,34
서울특별시,종로구,평창동,54,0,54
서울특별시,종로구,무악동,4,0,4
서울특별시,종로구,교남동,22,0,22
서울특별시,종로구,가회동,21,0,21
서울특별시,종로구,종로1·2·3·4가동,68,5,73
서울특별시,종로구,종로5·6가동,18,2,20
서울특별시,종로구,이화동,20,1,21
서울특별시,종로구,창신1동,8,2,10
서울특별시,종로구,창신2동,1,0,1
서울특별시,종로구,창신3동,6,1,7
서울특별시,종로구,숭인1동,12,1,13
서울특별시,종로구,숭인2동,8,0,8
서울특별시,종로구,청운효자동,30,0,30
서울특별시,종로구,혜화동,38,0,38
서울특별시,중구,소공동,40,3,43
서울특별시,중구,회현동,34,6,40
서울특별시,중구,명동,29,1,30
서울특별시,중구,필동,10,2,12
서울특별시,중구,장충동,13,1,14
서울특별시,중구,광희동,24,3,27
서울특별시,중구,을지로동,17,4,21
서울특별시,중구,신당5동,8,1,9
서울특별시,중구,황학동,7,0,7
서울특별시,중구,중림동,10,0,10
서울특별시,중구,신당동,8,2,10
서울특별시,중구,다산동,8,2,10
서울특별시,중구,약수동,12,2,14
서울특별시,중구,청구동,5,0,5
서울특별시,중구,동화동,4,0,4
서울특별시,용산구,후암동,16,0,16
서울특별시,용산구,용산2가동,27,1,28
서울특별시,용산구,남영동,21,4,25
서울특별시,용산구,원효로2동,22,0,22
서울특별시,용산구,효창동,15,0,15
서울특별시,용산구,용문동,17,2,19
서울특별시,용산구,이촌1동,21,0,21
서울특별시,용산구,이촌2동,11,0,11
서울특별시,용산구,이태원1동,15,1,16
서울특별시,용산구,이태원2동,21,0,21
서울특별시,용산구,서빙고동,24,1,25
서울특별시,용산구,보광동,13,0,13
서울특별시,용산구,청파동,24,0,24
서울특별시,용산구,원효로1동,23,0,23
서울특별시,용산구,한강로동,42,6,48
서울특별시,용산구,한남동,43,2,45
서울특별시,성동구,왕십리2동,12,1,13
서울특별시,성동구,마장동,28,1,29
서울특별시,성동구,사근동,40,2,42
서울특별시,성동구,행당1동,26,3,29
서울특별시,성동구,행당2동,25,1,26
서울특별시,성동구,응봉동,33,1,34
서울특별시,성동구,금호1가동,39,1,40
서울특별시,성동구,금호4가동,30,1,31
서울특별시,성동구,성수1가1동,32,1,33
서울특별시,성동구,성수1가2동,12,1,13
서울특별시,성동구,성수2가1동,30,0,30
서울특별시,성동구,성수2가3동,21,1,22
서울특별시,성동구,송정동,13,0,13
서울특별시,성동구,용답동,11,3,14
서울특별시,성동구,왕십리도선동,26,0,26
서울특별시,성동구,금호2·3가동,38,0,38
서울특별시,성동구,옥수동,40,2,42
서울특별시,광진구,화양동,20,2,22
서울특별시,광진구,군자동,22,0,22
서울특별시,광진구,중곡1동,18,0,18
서울특별시,광진구,중곡2동,18,0,18
서울특별시,광진구,중곡3동,21,1,22
서울특별시,광진구,중곡4동,34,0,34
서울특별시,광진구,능동,9,3,12
서울특별시,광진구,구의1동,13,1,14
서울특별시,광진구,구의2동,21,1,22
서울특별시,광진구,구의3동,23,1,24
서울특별시,광진구,광장동,38,1,39
서울특별시,광진구,자양1동,13,0,13
서울특별시,광진구,자양2동,17,0,17
서울특별시,광진구,자양3동,19,0,19
서울특별시,광진구,자양4동,12,1,13
서울특별시,동대문구,회기동,10,0,10
서울특별시,동대문구,휘경1동,13,1,14
서울특별시,동대문구,휘경2동,18,0,18
서울특별시,동대문구,청량리동,24,0,24
서울특별시,동대문구,용신동,38,5,43
서울특별시,동대문구,제기동,27,1,28
서울특별시,동대문구,전농1동,31,2,33
서울특별시,동대문구,전농2동,12,0,12
서울특별시,동대문구,답십리2동,20,0,20
서울특별시,동대문구,장안1동,27,0,27
서울특별시,동대문구,장안2동,33,0,33
서울특별시,동대문구,이문1동,27,1,28
서울특별시,동대문구,이문2동,11,1,12
서울특별시,동대문구,답십리1동,27,0,27
서울특별시,중랑구,면목2동,23,0,23
서울특별시,중랑구,면목4동,13,1,14
서울특별시,중랑구,면목5동,11,0,11
서울특별시,중랑구,면목7동,18,0,18
서울특별시,중랑구,상봉1동,13,2,15
서울특별시,중랑구,상봉2동,18,1,19
서울특별시,중랑구,중화1동,14,0,14
서울특별시,중랑구,중화2동,28,2,30
서울특별시,중랑구,묵1동,32,0,32
서울특별시,중랑구,묵2동,20,1,21
서울특별시,중랑구,망우3동,11,0,11
서울특별시,중랑구,신내1동,53,1,54
서울특별시,중랑구,신내2동,19,0,19
서울특별시,중랑구,면목본동,28,1,29
서울특별시,중랑구,면목3·8동,30,1,31
서울특별시,중랑구,망우본동,56,3,59
서울특별시,성북구,돈암1동,14,0,14
서울특별시,성북구,돈암2동,34,0,34
서울특별시,성북구,안암동,31,1,32
서울특별시,성북구,보문동,9,2,11
서울특별시,성북구,정릉1동,16,1,17
서울특별시,성북구,정릉2동,46,0,46
서울특별시,성북구,정릉3동,32,0,32
서울특별시,성북구,정릉4동,34,1,35
서울특별시,성북구,길음1동,27,1,28
서울특별시,성북구,길음2동,22,0,22
서울특별시,성북구,월곡1동,21,0,21
서울특별시,성북구,월곡2동,27,2,29
서울특별시,성북구,장위1동,33,0,33
서울특별시,성북구,장위2동,27,1,28
서울특별시,성북구,장위3동,36,0,36
서울특별시,성북구,성북동,46,0,46
서울특별시,성북구,삼선동,38,3,41
서울특별시,성북구,동선동,17,0,17
서울특별시,성북구,종암동,59,0,59
서울특별시,성북구,석관동,30,2,32
서울특별시,강북구,번1동,23,1,24
서울특별시,강북구,번2동,42,0,42
서울특별시,강북구,번3동,35,0,35
서울특별시,강북구,수유1동,39,1,40
서울특별시,강북구,수유2동,13,1,14
서울특별시,강북구,수유3동,24,0,24
서울특별시,강북구,삼양동,29,3,32
서울특별시,강북구,미아동,27,1,28
서울특별시,강북구,송중동,57,0,57
서울특별시,강북구,송천동,18,1,19
서울특별시,강북구,삼각산동,22,0,22
서울특별시,강북구,우이동,34,3,37
서울특별시,강북구,인수동,49,0,49
서울특별시,도봉구,쌍문1동,44,0,44
서울특별시,도봉구,쌍문2동,15,0,15
서울특별시,도봉구,쌍문3동,15,0,15
서울특별시,도봉구,쌍문4동,17,0,17
서울특별시,도봉구,방학1동,31,1,32
서울특별시,도봉구,방학2동,23,0,23
서울특별시,도봉구,방학3동,26,0,26
서울특별시,도봉구,창1동,21,2,23
서울특별시,도봉구,창2동,25,0,25
서울특별시,도봉구,창3동,14,0,14
