주소1,주소2,주소3,범죄 안전,생활 안전,병원 수,의원 수,약국 수,편의 시설 수,체육시설 수,문화시설 수,백화점 수,대형 마트 수,슈퍼마켓 & 편의점 수,외식 시설 수,CCTV 분포 현황,인구
서울특별시,강남구,개포1동,5,4,70,3,1,4,0,1,4,0,3,8,15,26399
서울특별시,강남구,개포2동,5,4,70,20,8,8,10,4,4,0,13,69,80,42535
서울특별시,강남구,개포3동,5,4,70,10,2,9,8,0,4,0,10,42,41,16767
서울특별시,강남구,개포4동,5,4,70,20,10,17,23,10,4,0,23,180,119,23313
서울특별시,강남구,논현1동,5,4,70,89,38,43,59,12,4,0,58,505,138,21510
서울특별시,강남구,논현2동,5,4,70,84,30,37,69,11,4,0,58,589,142,20571
서울특별시,강남구,대치1동,5,4,70,46,12,19,21,1,4,0,25,79,70,23979
서울특별시,강남구,대치2동,5,4,70,50,17,40,46,8,4,0,42,271,96,38484
서울특별시,강남구,대치4동,5,4,70,53,15,24,42,2,4,0,47,423,104,18580
서울특별시,강남구,도곡1동,5,4,70,40,13,14,21,6,4,0,24,143,82,20721
서울특별시,강남구,도곡2동,5,4,70,25,9,16,28,7,4,1,19,185,63,32348
서울특별시,강남구,삼성1동,5,4,70,45,17,46,32,12,4,1,32,322,110,12283
서울특별시,강남구,삼성2동,5,4,70,59,12,31,41,9,4,0,45,328,118,30834
서울특별시,강남구,세곡동,5,4,70,24,11,11,12,7,4,0,33,142,148,46455
서울특별시,강남구,수서동,5,4,70,17,7,7,10,3,4,0,12,89,71,13694
서울특별시,강남구,신사동,5,4,70,86,27,28,40,9,4,0,36,479,109,15480
서울특별시,강남구,압구정동,5,4,70,114,28,49,53,21,4,0,40,480,112,25746
서울특별시,강남구,역삼1동,5,4,70,174,57,82,147,19,4,0,134,1259,225,35596
서울특별시,강남구,역삼2동,5,4,70,70,29,30,57,3,4,1,49,307,88,36604
서울특별시,강남구,일원1동,5,4,70,15,6,9,17,2,4,0,12,126,70,14444
서울특별시,강남구,일원본동,5,4,70,13,6,8,6,3,4,0,13,40,58,22619
서울특별시,강남구,청담동,5,4,70,111,24,44,69,16,4,1,50,455,170,24253
서울특별시,강동구,강일동,2,1,33,18,7,9,10,4,1,0,20,57,30,34803
