주소1,주소2,주소3,인구,면적(km²),안전,여가,식당,의료,마트,편의 시설
서울특별시,강남구,개포1동,26399,1.27,27.0,20.0,20.0,35.0,24.0,22.0
서울특별시,강남구,개포2동,42535,2.51,27.0,22.0,22.0,29.0,24.0,22.0
서울특별시,강남구,개포3동,16767,1.24,28.0,23.0,22.0,37.0,29.0,24.0
서울특별시,강남구,개포4동,23313,1.49,29.0,30.0,28.0,36.0,33.0,26.0
서울특별시,강남구,논현1동,21510,1.25,29.0,44.0,47.0,53.0,55.0,39.0
서울특별시,강남구,논현2동,20571,1.47,29.0,44.0,49.0,47.0,51.0,35.0
서울특별시,강남구,대치1동,23979,0.79,29.0,30.0,26.0,56.0,45.0,32.0
서울특별시,강남구,대치2동,38484,2.0,28.0,31.0,29.0,35.0,35.0,31.0
서울특별시,강남구,대치4동,18580,0.73,30.0,42.0,56.0,62.0,66.0,37.0
서울특별시,강남구,도곡1동,20721,1.02,29.0,31.0,29.0,47.0,39.0,27.0
서울특별시,강남구,도곡2동,32348,1.02,28.0,32.0,31.0,43.0,36.0,28.0
서울특별시,강남구,삼성1동,12283,1.94,28.0,35.0,36.0,37.0,38.0,37.0
서울특별시,강남구,삼성2동,30834,1.24,29.0,35.0,37.0,45.0,46.0,33.0
서울특별시,강남구,세곡동,46455,6.36,27.0,22.0,22.0,24.0,24.0,21.0
서울특별시,강남구,수서동,13694,1.43,28.0,25.0,25.0,37.0,30.0,23.0
서울특별시,강남구,신사동,15480,1.89,28.0,35.0,42.0,42.0,38.0,30.0
서울특별시,강남구,압구정동,25746,2.53,28.0,36.0,35.0,39.0,33.0,32.0
서울특별시,강남구,역삼1동,35596,2.35,29.0,51.0,58.0,46.0,61.0,40.0
서울특별시,강남구,역삼2동,36604,1.15,28.0,38.0,36.0,51.0,50.0,33.0
서울특별시,강남구,일원1동,14444,0.92,29.0,29.0,29.0,44.0,34.0,26.0
서울특별시,강남구,일원본동,22619,2.58,27.0,22.0,21.0,29.0,25.0,22.0
서울특별시,강남구,청담동,24253,2.33,29.0,39.0,35.0,40.0,38.0,32.0
서울특별시,강동구,강일동,34803,2.26,67.0,23.0,22.0,26.0,25.0,22.0
서울특별시,강동구,고덕1동,23896,1.51,68.0,24.0,23.0,27.0,23.0,22.0
서울특별시,강동구,고덕2동,25572,2.5,68.0,22.0,23.0,25.0,24.0,21.0
서울특별시,강동구,길동,47949,1.61,69.0,32.0,38.0,36.0,40.0,28.0
서울특별시,강동구,둔촌1동,10945,0.92,67.0,20.0,20.0,29.0,21.0,20.0
서울특별시,강동구,둔촌2동,24830,1.56,68.0,27.0,28.0,29.0,30.0,24.0
서울특별시,강동구,명일1동,24935,0.61,69.0,37.0,42.0,51.0,43.0,32.0
서울특별시,강동구,명일2동,16911,0.97,68.0,28.0,28.0,36.0,32.0,25.0
서울특별시,강동구,상일1동,39373,1.82,68.0,23.0,25.0,27.0,26.0,23.0
서울특별시,강동구,상일2동,13592,1.09,67.0,21.0,22.0,29.0,24.0,22.0
서울특별시,강동구,성내1동,19242,0.58,68.0,40.0,44.0,46.0,43.0,32.0
서울특별시,강동구,성내2동,24435,0.67,69.0,29.0,43.0,43.0,47.0,29.0
서울특별시,강동구,성내3동,22157,0.71,69.0,43.0,48.0,48.0,46.0,26.0
서울특별시,강동구,암사1동,33515,1.02,69.0,27.0,34.0,34.0,43.0,25.0
서울특별시,강동구,암사2동,14645,1.18,67.0,29.0,26.0,31.0,27.0,25.0
서울특별시,강동구,암사3동,17127,2.51,67.0,21.0,21.0,24.0,22.0,21.0
서울특별시,강동구,천호1동,25849,0.71,70.0,29.0,35.0,41.0,40.0,28.0
서울특별시,강동구,천호2동,34952,1.57,69.0,27.0,35.0,34.0,37.0,27.0
서울특별시,강동구,천호3동,26746,0.79,69.0,30.0,36.0,42.0,37.0,29.0
서울특별시,강북구,미아동,21400,0.93,46.0,28.0,36.0,32.0,37.0,28.0
서울특별시,강북구,번1동,17035,0.66,49.0,35.0,41.0,36.0,51.0,29.0
서울특별시,강북구,번2동,14697,0.95,46.0,26.0,24.0,27.0,27.0,23.0
서울특별시,강북구,번3동,16087,1.1,42.0,25.0,24.0,26.0,30.0,24.0
서울특별시,강북구,삼각산동,30372,0.62,43.0,27.0,28.0,34.0,31.0,25.0
서울특별시,강북구,삼양동,24173,0.91,51.0,27.0,27.0,30.0,31.0,24.0
서울특별시,강북구,송중동,28643,1.01,49.0,29.0,37.0,32.0,37.0,29.0
서울특별시,강북구,송천동,23828,0.9,49.0,30.0,38.0,34.0,39.0,31.0
서울특별시,강북구,수유1동,20036,1.67,45.0,25.0,28.0,26.0,31.0,24.0
서울특별시,강북구,수유2동,20450,0.57,49.0,29.0,36.0,36.0,42.0,27.0
서울특별시,강북구,수유3동,23936,0.72,48.0,38.0,55.0,40.0,48.0,30.0
서울특별시,강북구,우이동,19805,10.28,42.0,22.0,24.0,21.0,23.0,21.0
서울특별시,강북구,인수동,28912,3.28,43.0,23.0,25.0,22.0,25.0,22.0
서울특별시,강서구,가양1동,33937,4.7,54.0,30.0,30.0,26.0,32.0,26.0
서울특별시,강서구,가양2동,13248,1.0,54.0,26.0,23.0,35.0,30.0,23.0
서울특별시,강서구,가양3동,13801,0.5,54.0,26.0,23.0,43.0,35.0,24.0
서울특별시,강서구,공항동,30044,10.87,54.0,22.0,23.0,21.0,24.0,23.0
서울특별시,강서구,등촌1동,25246,0.64,55.0,35.0,41.0,47.0,52.0,29.0
서울특별시,강서구,등촌2동,19327,0.92,55.0,26.0,25.0,34.0,29.0,24.0
서울특별시,강서구,등촌3동,29206,0.79,55.0,37.0,35.0,46.0,44.0,28.0
서울특별시,강서구,발산1동,35471,2.94,54.0,29.0,28.0,28.0,30.0,25.0
서울특별시,강서구,방화1동,41737,1.48,55.0,27.0,32.0,34.0,37.0,24.0
서울특별시,강서구,방화2동,23115,6.41,54.0,23.0,24.0,22.0,25.0,22.0
서울특별시,강서구,방화3동,21798,2.55,54.0,22.0,22.0,25.0,25.0,23.0
서울특별시,강서구,염창동,41330,1.74,54.0,29.0,27.0,31.0,33.0,23.0
서울특별시,강서구,우장산동,43680,1.36,55.0,27.0,27.0,32.0,32.0,24.0
서울특별시,강서구,화곡1동,50943,1.12,57.0,36.0,42.0,41.0,51.0,28.0
서울특별시,강서구,화곡2동,17146,0.45,57.0,26.0,29.0,48.0,44.0,22.0
서울특별시,강서구,화곡3동,20905,0.53,56.0,35.0,37.0,50.0,45.0,29.0
서울특별시,강서구,화곡4동,19501,0.82,56.0,26.0,34.0,40.0,36.0,25.0
서울특별시,강서구,화곡6동,25955,1.11,55.0,29.0,34.0,35.0,38.0,30.0
서울특별시,강서구,화곡8동,23159,0.53,57.0,29.0,38.0,49.0,39.0,28.0
서울특별시,강서구,화곡본동,32645,0.98,57.0,26.0,31.0,36.0,40.0,25.0
서울특별시,관악구,낙성대동,18013,2.27,48.0,28.0,32.0,25.0,28.0,23.0
서울특별시,관악구,난곡동,25269,0.96,50.0,23.0,26.0,31.0,32.0,24.0
서울특별시,관악구,난향동,14739,0.8,48.0,24.0,23.0,30.0,26.0,23.0
서울특별시,관악구,남현동,17724,3.27,47.0,23.0,24.0,23.0,25.0,22.0
서울특별시,관악구,대학동,27940,8.3,47.0,24.0,25.0,21.0,24.0,21.0
서울특별시,관악구,미성동,29499,1.38,49.0,26.0,28.0,28.0,32.0,25.0
서울특별시,관악구,보라매동,23850,0.76,50.0,24.0,36.0,33.0,39.0,25.0
서울특별시,관악구,삼성동,19667,2.66,48.0,22.0,22.0,23.0,22.0,21.0
서울특별시,관악구,서림동,24669,0.99,49.0,25.0,28.0,27.0,36.0,21.0
서울특별시,관악구,서원동,23874,0.65,50.0,29.0,37.0,37.0,45.0,25.0
서울특별시,관악구,성현동,28119,0.68,48.0,26.0,27.0,32.0,30.0,24.0
서울특별시,관악구,신림동,24050,0.54,49.0,34.0,54.0,44.0,59.0,27.0
서울특별시,관악구,신사동,24405,0.64,50.0,29.0,37.0,34.0,50.0,25.0
서울특별시,관악구,신원동,18316,0.55,50.0,24.0,33.0,35.0,32.0,26.0
서울특별시,관악구,은천동,32397,0.78,50.0,32.0,36.0,32.0,39.0,25.0
서울특별시,관악구,인헌동,25434,1.08,48.0,26.0,29.0,31.0,32.0,24.0
서울특별시,관악구,조원동,21097,0.67,49.0,30.0,41.0,38.0,45.0,28.0
서울특별시,관악구,중앙동,15561,0.39,51.0,35.0,42.0,47.0,51.0,25.0
서울특별시,관악구,청룡동,37009,1.18,49.0,30.0,35.0,32.0,42.0,30.0
서울특별시,관악구,청림동,14672,0.3,49.0,29.0,30.0,43.0,38.0,25.0
서울특별시,관악구,행운동,29316,0.72,50.0,32.0,37.0,39.0,42.0,26.0
서울특별시,광진구,광장동,34040,2.39,48.0,26.0,24.0,24.0,27.0,23.0
서울특별시,광진구,구의1동,23676,0.56,50.0,34.0,51.0,36.0,51.0,33.0
서울특별시,광진구,구의2동,25925,1.39,49.0,26.0,29.0,27.0,29.0,23.0
서울특별시,광진구,구의3동,27903,1.02,48.0,34.0,34.0,31.0,37.0,27.0
서울특별시,광진구,군자동,21431,0.74,49.0,35.0,43.0,33.0,44.0,30.0
서울특별시,광진구,능동,11354,1.1,48.0,29.0,28.0,26.0,36.0,24.0
서울특별시,광진구,자양1동,22694,0.57,49.0,33.0,45.0,44.0,48.0,32.0
서울특별시,광진구,자양2동,23716,1.68,48.0,27.0,27.0,25.0,28.0,24.0
서울특별시,광진구,자양3동,27339,1.2,48.0,28.0,28.0,28.0,33.0,25.0
서울특별시,광진구,자양4동,23245,1.16,48.0,27.0,36.0,30.0,35.0,27.0
서울특별시,광진구,중곡1동,15612,0.62,49.0,29.0,39.0,34.0,43.0,28.0
서울특별시,광진구,중곡2동,20540,0.55,49.0,33.0,42.0,40.0,46.0,29.0
서울특별시,광진구,중곡3동,15692,0.6,50.0,30.0,37.0,33.0,39.0,25.0
서울특별시,광진구,중곡4동,27724,2.32,48.0,24.0,26.0,24.0,27.0,23.0
서울특별시,광진구,화양동,27761,1.16,48.0,33.0,50.0,30.0,48.0,28.0
서울특별시,구로구,가리봉동,12450,0.4,61.0,28.0,39.0,41.0,45.0,29.0
서울특별시,구로구,개봉1동,33922,1.31,56.0,26.0,30.0,29.0,34.0,23.0
서울특별시,구로구,개봉2동,29644,0.8,56.0,26.0,28.0,34.0,31.0,27.0
서울특별시,구로구,개봉3동,19761,0.81,57.0,26.0,30.0,32.0,29.0,25.0
서울특별시,구로구,고척1동,26775,1.16,55.0,33.0,30.0,31.0,32.0,26.0
서울특별시,구로구,고척2동,25885,1.02,57.0,29.0,30.0,30.0,33.0,24.0
서울특별시,구로구,구로1동,20599,1.02,55.0,26.0,23.0,28.0,28.0,22.0
