name,type,gu_name,dong_name,latitude,longitude
런드리익스프레스샵 논현점,셀프빨래방,강남구,논현1동,37.5070516,127.0293596
크린토피아 코인워시365 논현역점,셀프빨래방,강남구,논현1동,37.5098222,127.0277507
크린업24 강남논현점,셀프빨래방,강남구,논현1동,37.5099898,127.0258803
워시엔조이 강남논현점,셀프빨래방,강남구,논현1동,37.5102822,127.0239352
크린업24 강남역삼점,셀프빨래방,강남구,역삼1동,37.4970034,127.0298357
24시셀프빨래대장 일원점,셀프빨래방,강남구,일원본동,37.4828994,127.0834454
더런드리 논현점,셀프빨래방,강남구,논현1동,37.5111198,127.0293267
워시엔죠이셀프빨래방 역삼1호점,셀프빨래방,강남구,역삼1동,37.4917309,127.0372698
자탁소셀프빨래방 역삼직영점,셀프빨래방,강남구,역삼2동,37.4936191,127.0424151
빨래터빨래방 역삼점,셀프빨래방,강남구,역삼1동,37.5020995,127.0339263
크린토피아 코인워시365 청담경원점,셀프빨래방,강남구,청담동,37.5235931,127.0450641
워시엔조이 청담점,셀프빨래방,강남구,청담동,37.522158,127.0457381
어반런드렛 청담,셀프빨래방,강남구,청담동,37.5254831,127.0489544
세탁나눔방24시,셀프빨래방,강남구,청담동,37.5264397,127.04968
워시큐셀프빨래방 신논현점,셀프빨래방,강남구,논현1동,37.5057599,127.027426
아쿠아워시 강남언주역점,셀프빨래방,강남구,역삼1동,37.5067636,127.0331066
크린토피아 코인워시 강남언주역점,셀프빨래방,강남구,논현1동,37.5079461,127.0322315
크린토피아 코인워시365 역삼1동점,셀프빨래방,강남구,역삼1동,37.5066527,127.0415582
펭귄에이전시 (penguin agency),셀프빨래방,강남구,삼성2동,37.5137167,127.0486405
위니아24크린샵 삼성점,셀프빨래방,강남구,삼성2동,37.5103691,127.0534108
화이트365 삼성점,셀프빨래방,강남구,삼성2동,37.5118015,127.0465731
코인워시24셀프빨래터 강남대치점,셀프빨래방,강남구,대치4동,37.4988282,127.0533586
아쿠아워시 논현점,셀프빨래방,강남구,논현2동,37.5106397,127.0361861
버블맨24셀프빨래방 언주역점,셀프빨래방,강남구,역삼1동,37.5060377,127.0367484
빨래터빨래방 역삼본점,셀프빨래방,강남구,역삼2동,37.5005674,127.0423818
런드리나인셀프빨래방 일원점,셀프빨래방,강남구,일원1동,37.490887,127.0873361
런드리9 셀프빨래방 일원점,셀프빨래방,강남구,일원1동,37.490887,127.0873361
에코런드렛셀프빨래방 강남자곡동점,셀프빨래방,강남구,세곡동,37.4737132,127.1034188
낭만빨래방 역삼역점,셀프빨래방,강남구,역삼1동,37.4971759,127.0336379
위니아24크린샵 역삼점,셀프빨래방,강남구,역삼1동,37.5049603,127.0396529
워시엔조이 선릉역점,셀프빨래방,강남구,역삼1동,37.5051548,127.0442448
크린토피아 코인워시 선릉역점,셀프빨래방,강남구,역삼1동,37.5056945,127.0462538
런드리존 논현점,셀프빨래방,강남구,논현1동,37.5103819,127.0274448
화이트365 강남논현점,셀프빨래방,강남구,논현2동,37.5114375,127.0330551
화이트365 강남점,셀프빨래방,강남구,논현2동,37.5183238,127.0376459
더런드리 셀프빨래방 암사점,셀프빨래방,강동구,암사1동,37.5532288,127.1300076
셀빨래방 암사동점,셀프빨래방,강동구,암사1동,37.5541113,127.1357689
화이트24셀프빨래방 천호점,셀프빨래방,강동구,천호3동,37.5403805,127.1282011
아쿠아워시 셀프빨래방 명일동점,셀프빨래방,강동구,명일1동,37.5501562,127.1461581
24시셀프빨래방 천호2호점,셀프빨래방,강동구,천호2동,37.5468463,127.1322039
셀빨래방 고덕점,셀프빨래방,강동구,고덕1동,37.5604684,127.1517976
코인워시셀프빨래방 천호길동점,셀프빨래방,강동구,천호1동,37.54792,127.1412891
이지워시 셀프빨래방 명일점,셀프빨래방,강동구,명일2동,37.5486854,127.1542121
셀빨래방 성내점,셀프빨래방,강동구,성내3동,37.5299209,127.1366084
이지워시 셀프빨래방 둔촌점,셀프빨래방,강동구,둔촌2동,37.5326059,127.1393231
워시스토리셀프빨래방 강동성내타운점,셀프빨래방,강동구,성내3동,37.5336301,127.1346185
워시피플셀프빨래방,셀프빨래방,강동구,명일1동,37.5475763,127.1445742
워시엔조이 셀프빨래방 천호역점,셀프빨래방,강동구,천호2동,37.5428092,127.1237211
워시쿱 24시 셀프빨래방 암사점,셀프빨래방,강동구,암사1동,37.5501863,127.1300022
천호동 셀프빨래방 런드리라운지24 천호3동점,셀프빨래방,강동구,천호3동,37.539228,127.1320283
셀빨래방,셀프빨래방,강동구,천호3동,37.542161,127.1376986
워시팡팡무인셀프빨래방 성내점,셀프빨래방,강동구,성내2동,37.5342938,127.1257315
24시셀프빨래방,셀프빨래방,강동구,성내2동,37.5334398,127.1268991
위니아대우24크린샵셀프빨래방 서울둔촌점,셀프빨래방,강동구,둔촌2동,37.5307829,127.1416631
워시쿱셀프빨래방미아점무인아이스크림할인점,식품판매,강북구,송중동,37.6222006,127.0287701
워시팡팡 셀프빨래방,세탁소,강북구,송천동,37.6222035,127.0260022
크린토피아 코인워시 미아역점,셀프빨래방,강북구,미아동,37.6297048,127.0239136
뽀송이 셀프빨래방,세탁소,강북구,우이동,37.6578698,127.0134608
크린업24 미아뉴타운점,셀프빨래방,강북구,삼각산동,37.6185505,127.0188472
화이트365 수유시장점,셀프빨래방,강북구,삼양동,37.6301531,127.022125
크린토피아 코인워시365 수유1동주민센터점,셀프빨래방,강북구,수유1동,37.6300038,127.0169774
화이트365 화계역점,셀프빨래방,강북구,수유1동,37.6326045,127.0153626
화이트365 미아점,셀프빨래방,강북구,미아동,37.6246146,127.0249659
빨래방24시 송천점,셀프빨래방,강북구,송천동,37.6186991,127.0238523
크린업24 길음뉴타운점,셀프빨래방,강북구,송천동,37.6117497,127.0230935
위니아대우24크린샵 미아점,셀프빨래방,강북구,송중동,37.6135321,127.0342565
더런드리 미아점,셀프빨래방,강북구,송중동,37.6146152,127.0348918
런드리나인 셀프빨래방 오패산점,셀프빨래방,강북구,송중동,37.6249469,127.0321441
크린토피아 코인워시365 강북미아해링턴점,셀프빨래방,강북구,송중동,37.616937,127.0346104
워시하우스 미아사거리점,셀프빨래방,강북구,송중동,37.6145884,127.0325606
24시셀프코인빨래방,셀프빨래방,강북구,번3동,37.6271971,127.0399267
스피드퀸,셀프빨래방,강북구,번3동,37.6271971,127.0399267
코런셀프빨래방,셀프빨래방,강서구,화곡1동,37.5340725,126.8417257
AMPM워시큐 셀프빨래방 발산역점,셀프빨래방,강서구,가양1동,37.5618344,126.8388113
워시프렌즈 서울마곡동점,셀프빨래방,강서구,가양1동,37.5655159,126.8400405
에코런드렛 셀프빨래방 화곡동점,셀프빨래방,강서구,화곡8동,37.5357709,126.8489506
브로스셀프빨래방 화곡점,셀프빨래방,강서구,화곡3동,37.5436333,126.8365611
워시팡팡 셀프빨래방발산점,세탁소,강서구,발산1동,37.5530873,126.8326184
에코런드렛 빨래방&amp;아이스크림 화곡4동점,셀프빨래방,강서구,화곡4동,37.5309931,126.8601403
24시셀프빨래방 방화동,셀프빨래방,강서구,방화2동,37.5632082,126.8072819
24시셀프빨래방 화곡점,셀프빨래방,강서구,화곡4동,37.5319853,126.8592546
워시앤디 셀프빨래방 까치산점,셀프빨래방,강서구,화곡1동,37.5306105,126.842514
워시프렌즈 서울까치산점,셀프빨래방,강서구,화곡8동,37.5349549,126.8500332
아인워시 24시셀프빨래방 화곡점,셀프빨래방,강서구,화곡2동,37.5316347,126.8546487
워시팡팡셀프빨래방 남부시장점,셀프빨래방,강서구,화곡4동,37.533809,126.8616585
에코런드렛 셀프빨래방&amp;아이스크림 마곡직영점,셀프빨래방,강서구,가양1동,37.559888,126.8291698
화이트24셀프빨래방 등촌점,셀프빨래방,강서구,등촌1동,37.5556209,126.8591396
우리셀프빨래방협동조합 강서구청점,셀프빨래방,강서구,화곡본동,37.5474583,126.848581
셀빨래방 화곡점,셀프빨래방,강서구,화곡6동,37.5488915,126.8504397
워시타임셀프빨래방 김포공항동점,셀프빨래방,강서구,공항동,37.5539043,126.8144736
백의민족 셀프빨래방 등촌점,셀프빨래방,강서구,등촌2동,37.5455753,126.8613306
화이트24셀프빨래방 마곡나루역점,셀프빨래방,강서구,가양1동,37.5689315,126.8261437
24시셀프빨래방 신이주단지점,셀프빨래방,강서구,공항동,37.5548614,126.8179212
화이트24셀프빨래방 개화산역점,셀프빨래방,강서구,방화2동,37.572303,126.8069941
화이트24셀프빨래방 양천향교역점,셀프빨래방,강서구,가양1동,37.568266,126.8403596
미스터셀프크리닝 방화2점,셀프빨래방,강서구,방화1동,37.5698141,126.8152452
화이트24 셀프빨래방 양천향교점,셀프빨래방,강서구,가양1동,37.5708356,126.8403756
워시프레쉬 화곡점,셀프빨래방,강서구,화곡본동,37.5425889,126.8477588
워시팡팡무인셀프빨래방 화곡본점,셀프빨래방,강서구,화곡8동,37.5387912,126.8478197
아쿠아워시 서울강서화곡동점,셀프빨래방,강서구,화곡6동,37.5545091,126.8520186
이지워시 셀프빨래방 화곡점,셀프빨래방,강서구,화곡1동,37.5385782,126.8354767
런드리킹 셀프빨래방 신사점,셀프빨래방,관악구,신사동,37.4837267,126.9216598
워시프렌즈 서울삼성동점,셀프빨래방,관악구,삼성동,37.4644976,126.9269064
워시피플셀프빨래방 관악봉천은천점,셀프빨래방,관악구,보라매동,37.4869358,126.9393778
늘푸른 셀프드라이크리닝 신림동점,셀프빨래방,관악구,난곡동,37.4691916,126.9242383
파란빨래방 난곡사거리점,셀프빨래방,관악구,미성동,37.479464,126.9128484
런드리라운지24셀프빨래방 낙성대점,셀프빨래방,관악구,행운동,37.4762018,126.9665166
워시프렌즈셀프빨래방 서울신림점,셀프빨래방,관악구,신사동,37.485323,126.9198081
화이트빨래방,셀프빨래방,관악구,신림동,37.4859247,126.9308676
에코런드렛셀프빨래방 관악구신림점,셀프빨래방,관악구,신림동,37.4861555,126.9335779
워시 프레쉬 셀프빨래방 신림역점,세탁소,관악구,서원동,37.4825552,126.9338871
워시프레쉬 셀프빨래방 신림역2호점,셀프빨래방,관악구,서원동,37.484215,126.933964
파란빨래방,셀프빨래방,관악구,낙성대동,37.4776204,126.9553142
하이브 셀프빨래방,셀프빨래방,관악구,남현동,37.47577,126.9755237
퍼펙트30분빨래방 당곡역점,셀프빨래방,관악구,보라매동,37.4910757,126.9287129
워시원 서울대학동점,셀프빨래방,관악구,대학동,37.4677405,126.9364431
워시프렌즈 서울대학동점,셀프빨래방,관악구,대학동,37.4664422,126.9361442
무인셀프 365일빨래방,셀프빨래방,관악구,대학동,37.4669936,126.9374894
셀빨래방 보라매점,셀프빨래방,관악구,보라매동,37.4912113,126.9249903
클린빨래방,셀프빨래방,관악구,서림동,37.4749068,126.9407491
워시피플셀프빨래방 신림보라매점,셀프빨래방,관악구,보라매동,37.4885979,126.9305018
센트럴빨래방 파란신림점,셀프빨래방,관악구,신림동,37.4870925,126.9304952
더런드리셀프빨래방 봉천은천점,셀프빨래방,관악구,은천동,37.4841842,126.9454916
워시엔조이 셀프빨래방 봉천중앙점,셀프빨래방,관악구,은천동,37.483488,126.9449953
버블맨24셀프빨래방 봉천점,셀프빨래방,관악구,중앙동,37.4833224,126.9492909
착한EM빨래방,셀프빨래방,관악구,중앙동,37.4829015,126.9506717
파란셀프빨래방,셀프빨래방,관악구,대학동,37.4688674,126.93892
클린업24시 셀프빨래방 서울대점,셀프빨래방,관악구,서림동,37.4716647,126.9384035
크린업24 서울대대학동점,셀프빨래방,관악구,대학동,37.4680788,126.9364282
런드리카페 셀프빨래방 신림점,셀프빨래방,관악구,대학동,37.4680295,126.9345628
버블맨24 셀프빨래방,셀프빨래방,관악구,서림동,37.4749363,126.9370368
화이트빨래방 신림역점,셀프빨래방,관악구,서원동,37.4820835,126.9306623
워시엔조이 신림역2호점,셀프빨래방,관악구,신림동,37.4858711,126.928162
런드리라운지24 셀프빨래방 신림점,셀프빨래방,관악구,신림동,37.4875944,126.9294281
셀프크리닝,셀프빨래방,관악구,신원동,37.481772,126.9275911
워시피플 셀프빨래방 봉천동점,셀프빨래방,관악구,청룡동,37.4797059,126.9486168
24시간셀프빨래방 은천점,셀프빨래방,관악구,은천동,37.4838184,126.9438376
셀프빨래방24,셀프빨래방,관악구,청룡동,37.4819881,126.9398842
워시앤조이셀프빨래방 관악조원점,셀프빨래방,관악구,조원동,37.481346,126.9087317
이지워시셀프빨래방 관악청룡점,셀프빨래방,관악구,청룡동,37.4789865,126.9448754
자탁소 셀프빨래방 쑥고개점,셀프빨래방,관악구,청룡동,37.4802306,126.9417547
더런드리 청룡점,셀프빨래방,관악구,청룡동,37.4806339,126.9458664
청림24시셀프빨래방,셀프빨래방,관악구,청림동,37.4886505,126.959506
24시셀프빨래플러스 청림점,셀프빨래방,관악구,청림동,37.4886505,126.959506
워시팡팡 셀프빨래방 서울대입구점,셀프빨래방,관악구,행운동,37.4818377,126.9564952
자탁소 셀프빨래방 낙성대행운점,셀프빨래방,관악구,행운동,37.4794233,126.9598971
워시피플 셀프빨래방 봉천낙성대행운점,셀프빨래방,관악구,행운동,37.4814478,126.9600223
런드리킹셀프빨래방 신림대학동점,셀프빨래방,관악구,대학동,37.4686183,126.9355923
월드크리닝 서울신림점,셀프빨래방,관악구,대학동,37.4702264,126.9359625
워시스토리 서울광장점,셀프빨래방,광진구,광장동,37.5475301,127.1043067
모지트,셀프빨래방,광진구,군자동,37.5547631,127.0756709
클린클린24시 셀프빨래방 건대점,셀프빨래방,광진구,화양동,37.5445946,127.0707222
워시팡팡 24시빨래방 군자점,셀프빨래방,광진구,중곡1동,37.561574,127.0802376
