id,name,type,gu_name,dong_name,latitude,longitude
1,다이소 강남구청역점,다이소,강남구,삼성2동,37.517,127.0418
2,다이소 강남대로점,다이소,서초구,서초4동,37.49878,127.0267
3,다이소 강남역2호점,다이소,강남구,역삼1동,37.49877,127.029
4,다이소 거여점,다이소,송파구,거여2동,37.49287,127.1451
5,다이소 경기마트길음점,다이소,성북구,길음1동,37.60312,127.0205
6,다이소 교대역점,다이소,서초구,서초4동,37.49497,127.0171
7,다이소 구의역점,다이소,광진구,자양2동,37.53654,127.0847
8,다이소 군자역점,다이소,광진구,능동,37.55674,127.0797
9,다이소 길동점,다이소,강동구,길동,37.53882,127.1407
10,다이소 낙성대점,다이소,관악구,인헌동,37.47597,126.9657
11,다이소 남대문시장점,다이소,중구,회현동,37.56073,126.9794
12,다이소 내방역점,다이소,서초구,방배1동,37.48729,126.9932
13,다이소 노량진점,다이소,동작구,노량진1동,37.51342,126.9447
14,다이소 당산점,다이소,영등포구,당산2동,37.53413,126.901
15,다이소 대치점,다이소,강남구,대치1동,37.49826,127.0601
16,다이소 도곡본점,다이소,강남구,도곡1동,37.49146,127.0389
17,다이소 독산점,다이소,금천구,독산1동,37.46981,126.8975
18,다이소 동대문점,다이소,종로구,창신2동,37.57222,127.012
19,다이소 동서울터미널점,다이소,광진구,구의3동,37.53345,127.0934
20,다이소 둔촌점,다이소,강동구,성내3동,37.52521,127.1348
21,다이소 롯데마트 강변점,다이소,광진구,구의3동,37.53573,127.0957
22,다이소 롯데마트 송파점,다이소,송파구,문정2동,37.49174,127.1178
23,다이소 롯데마트 잠실점,다이소,송파구,잠실3동,37.51142,127.0975
24,다이소 롯데마트청량리점,다이소,동대문구,전농1동,37.57903,127.0465
25,다이소 롯데슈퍼가락점,다이소,송파구,가락본동,37.5029,127.1253
26,다이소 롯데슈퍼전농점,다이소,동대문구,전농2동,37.57646,127.0598
27,다이소 망원점,다이소,마포구,망원1동,37.55541,126.9063
28,다이소 명동 본점,다이소,중구,명동,37.56399,126.9847
29,다이소 명동M플라자점,다이소,중구,명동,37.56254,126.9852
30,다이소 발산역점,다이소,강서구,우장산동,37.55804,126.8384
31,다이소 방배역점,다이소,서초구,방배1동,37.48147,126.997
32,다이소 방이시장점,다이소,송파구,방이2동,37.51176,127.114
33,다이소 봉천1호점,다이소,관악구,행운동,37.48409,126.9553
34,다이소 봉천2호점,다이소,관악구,은천동,37.48259,126.9425
35,다이소 GS슈퍼관악점,다이소,관악구,청룡동,37.47945,126.9491
36,다이소 사당1호점,다이소,동작구,사당1동,37.47686,126.9816
37,다이소 사당2호점,다이소,동작구,사당1동,37.47693,126.9774
38,다이소 사평역점,다이소,서초구,반포1동,37.50416,127.0154
39,다이소 서울대입구점,다이소,관악구,낙성대동,37.48037,126.9543
40,다이소 석촌점,다이소,송파구,석촌동,37.50142,127.1076
41,다이소 선유도역점,다이소,영등포구,양평2동,37.53813,126.8934
42,다이소 성신여대역점,다이소,성북구,동선동,37.59181,127.0168
43,다이소 수유2호점,다이소,강북구,수유3동,37.63677,127.0233
44,다이소 수유시장점,다이소,강북구,미아동,37.63171,127.0244
45,다이소 신당역점,다이소,중구,신당5동,37.56545,127.0202
46,다이소 신길점,다이소,영등포구,신길4동,37.50592,126.9114
47,다이소 신림점,다이소,관악구,삼성동,37.47179,126.9333
48,다이소 신림역점,다이소,관악구,서원동,37.48376,126.9283
49,다이소 신월점,다이소,양천구,신월1동,37.53365,126.8357
50,다이소 신촌 명물거리점,다이소,서대문구,신촌동,37.55832,126.9381
51,다이소 신촌본점,다이소,마포구,서교동,37.55532,126.9356
52,다이소 신촌3호점,다이소,서대문구,신촌동,37.55559,126.9364
53,다이소 신촌4호점,다이소,서대문구,신촌동,37.55878,126.9423
54,다이소 쌍문역점,다이소,도봉구,쌍문3동,37.64952,127.0349
55,다이소 아성산업점,다이소,강남구,도곡1동,37.49146,127.0389
56,다이소 아차산역점,다이소,광진구,구의2동,37.55153,127.0902
57,다이소 안암동점,다이소,성북구,안암동,37.58393,127.0297
58,다이소 양재2호점,다이소,서초구,양재1동,37.48451,127.0366
59,다이소 압구정로데오점,다이소,강남구,압구정동,37.52855,127.0365
60,다이소 영동프라자점,다이소,강남구,논현1동,37.51,127.0238
61,다이소 오류동점,다이소,구로구,오류1동,37.49638,126.8439
62,다이소 옥수역점,다이소,성동구,옥수동,37.54079,127.0185
63,다이소 외대역점,다이소,동대문구,이문1동,37.59589,127.0619
64,다이소 응암역점,다이소,은평구,신사1동,37.59877,126.9153
65,다이소 이대역점,다이소,서대문구,신촌동,37.55709,126.9463
66,다이소 잠실점,다이소,송파구,잠실본동,37.50851,127.0868
67,다이소 종각역점,다이소,종로구,종로1.2.3.4가동,37.56992,126.9847
68,다이소 창동3호점,다이소,도봉구,창2동,37.64279,127.0367
69,다이소 천호점,다이소,강동구,천호2동,37.54145,127.1248
70,다이소 청담역점,다이소,강남구,청담동,37.51937,127.0515
71,다이소 청량리점,다이소,동대문구,전농1동,37.5797,127.045
72,다이소 코엑스몰점,다이소,강남구,삼성1동,37.51281,127.0572
73,다이소 하나로클럽양재점,다이소,서초구,양재2동,37.46309,127.0435
74,다이소 한성대입구역점,다이소,성북구,삼선동,37.58875,127.0074
