name,gu_name,dong_name,latitude,longitude
코리아나미술관,강남구,압구정동,37.524071,127.032811
밀알미술관,강남구,일원본동,37.48578132,127.0820739
피규어뮤지엄W,강남구,청담동,37.5257998,127.0403869
K현대미술관,강남구,압구정동,37.52438077,127.0391734
경기여고경운박물관,강남구,개포2동,37.48691615,127.0654539
세계골프역사박물관,강남구,대치2동,37.5080761,127.0620024
코리아나 화장박물관,강남구,압구정동,37.524071,127.032811
도산안창호기념관,강남구,압구정동,37.5239121,127.0356029
관세박물관,강남구,논현2동,37.51830058,127.0337768
탄허기념박물관,강남구,세곡동,37.4789983,127.1029546
호림박물관 신사분관,강남구,압구정동,37.5226393,127.0363446
포스코미술관,강남구,대치4동,37.50581326,127.056137
박을복자수박물관,강북구,우이동,37.65381634,127.0084901
허준박물관,강서구,가양2동,37.56787281,126.8510301
겸재정선미술관,강서구,가양1동,37.57222423,126.8384111
호림박물관,관악구,미성동,37.4808823,126.9182364
서울대학교 박물관,관악구,낙성대동,37.46803806,126.9592943
서울시립 남서울미술관,관악구,남현동,37.47605354,126.9794659
서울대학교 미술관,관악구,낙성대동,37.46803806,126.9592943
갤러리관악,관악구,청룡동,37.47825697,126.951506
건국대학교박물관,광진구,화양동,37.5391833,127.0747099
세종대학교박물관,광진구,군자동,37.552255,127.074732
평강 성서유물박물관,구로구,오류2동,37.4919053,126.8440613
삼육대학교 박물관,노원구,공릉2동,37.64335827,127.1088514
서울여자대학교 박물관,노원구,공릉2동,37.62878257,127.0889917
서울과학기술대학교 미술관,노원구,중계2.3동,37.639513857,127.067821263
옹기민속박물관,도봉구,쌍문1동,37.65448,127.01465
덕성여자대학교 박물관,도봉구,방학1동,37.66877,127.04707
산악박물관,도봉구,도봉1동,37.68748,127.03408
숭실대학교 한국기독교박물관,동작구,상도1동,37.49642897,126.9551579
서대문자연사박물관(3월~10월),서대문구,연희동,37.57675199,126.937836
서대문자연사박물관(11월~2월),서대문구,연희동,37.57675199,126.937836
서대문형무소역사관(3월~10월),서대문구,천연동,37.57460851,126.9556118
서대문형무소역사관(11월~2월),서대문구,천연동,37.57460851,126.9556118
한국전력공사,서초구,서초2동,37.4856225,127.0280788
대한불교 천태종 관문사,서초구,양재1동,37.47375033,127.0222823
매헌윤봉길의사기념관,서초구,양재2동,37.4730498,127.0369771
유리지공예관,서초구,양재1동,37.45775784,127.0123542
(재)한원미술관,서초구,서초3동,37.48178113,127.0154357
예술의전당 서울서예박물관,서초구,서초3동,37.4802402,127.0142152
예술의전당 한가람디자인미술관,서초구,서초3동,37.4802402,127.0142152
예술의전당 한가람미술관,서초구,서초3동,37.4802402,127.0142152
한양여자대학교 미술관,성동구,사근동,37.5579193904,127.0493225775
헬로우뮤지움,성동구,성수2가3동,37.5481760951,127.0532496803
한양대학교 박물관,성동구,사근동,37.5545035492,127.0466112167
수도박물관,성동구,성수1가1동,37.5421902768,127.039303238
청계천박물관,성동구,마장동,37.5712267,127.0350281
성북선잠박물관,성북구,성북동,37.59323425,126.9982055
성북구립미술관,성북구,성북동,37.5948078,126.9948864
고려대학교박물관,성북구,안암동,37.5864922167,127.0309795766
명원박물관,성북구,정릉3동,37.61028784,126.9985206
동덕여대박물관,성북구,월곡2동,37.60681483,127.0411763
성신여대박물관,성북구,동선동,37.59165248,127.0221456
간송박물관,성북구,성북동,37.59446244,126.9962385
옛돌박물관,성북구,성북동,37.600882,126.990191
가구박물관,성북구,성북동,37.60037831,126.9934492
예송미술관,송파구,삼전동,37.50235785,127.0934902
한국광고박물관,송파구,잠실6동,37.51592726,127.0996432
소마미술관,송파구,오륜동,37.51686487,127.1181845
서울올림픽기념관,송파구,오륜동,37.5203397,127.1155179
롯데월드민속박물관,송파구,잠실3동,37.51130961,127.0981418
한미사진미술관,송파구,방이2동,37.51659259,127.1139562
한성백제박물관,송파구,오륜동,37.51542872,127.1208007
몽촌역사관,송파구,오륜동,37.5203397,127.1155179
롯데월드아쿠아리움,송파구,잠실6동,37.51375196,127.1044469
롯데뮤지엄,송파구,잠실6동,37.51375196,127.1044469
송파책박물관,송파구,가락1동,37.49888418,127.1043834
한국잡지박물관,영등포구,여의동,37.51976516,126.9302412
국회박물관,영등포구,여의동,37.53291197,126.9164039
독도체험관,영등포구,영등포동,37.5172332566,126.9037159937
국립중앙박물관,용산구,한강로동,37.52470233,126.9777412
국립한글박물관,용산구,한강로동,37.5247022358,126.9777402465
백범김구기념관,용산구,효창동,37.54427794,126.9592546
전쟁기념관,용산구,남영동,37.53731288,126.9784661
한익환서울아트박물관,용산구,한남동,37.53802833,127.004992
숙명여자대학교 정영양자수박물관,용산구,청파동,37.54547273,126.9650748
숙명여자대학교박물관,용산구,청파동,37.54547273,126.9650748
삼성미술관 Leeum,용산구,한남동,37.53846091,126.999294
숙명여자대학교 문신미술관,용산구,청파동,37.54547273,126.9650748
김세중미술관,용산구,효창동,37.54201614,126.9638815
아모레퍼시픽미술관,용산구,한강로동,37.52879082,126.9686757
용산역사박물관,용산구,한강로동,37.52557465,126.9656016
은평역사한옥박물관,은평구,진관동,37.6403687,126.9380375
다문화박물관,은평구,불광1동,37.6187179,126.9325323
사비나미술관,은평구,진관동,37.6301511,126.9293496
국립민속박물관,종로구,청운효자동,37.57590409,126.9768421
대한민국역사박물관,종로구,종로1.2.3.4가동,37.57371316,126.9783379
국립고궁박물관,종로구,청운효자동,37.57659207,126.9749771
국립경찰박물관,종로구,사직동,37.56887613,126.9687094
국립기상박물관,종로구,사직동,37.57022174,126.9662042
서울교육박물관,종로구,삼청동,37.58126437,126.9838695
서울역사박물관,종로구,사직동,37.57176907,126.9679849
서울우리소리박물관,종로구,종로1.2.3.4가동,37.57715793,126.989622
서울공예박물관,종로구,삼청동,37.57664817,126.9835334
목인박물관,종로구,종로1.2.3.4가동,37.573871,126.9836492
뮤지엄김치간,종로구,종로1.2.3.4가동,37.573514,126.9848673
불교중앙박물관,종로구,종로1.2.3.4가동,37.57389395,126.9818833
신문박물관,종로구,종로1.2.3.4가동,37.56986758,126.9776553
영인문학관,종로구,평창동,37.6118922,126.9717578
의학박물관,종로구,이화동,37.58045239,126.9971964
화정박물관,종로구,평창동,37.604561,126.9660819
가회민화박물관,종로구,가회동,37.58214037,126.9856536
김달진미술자료박물관,종로구,부암동,37.600016,126.9566605
떡박물관,종로구,종로1.2.3.4가동,37.57489958,126.9906359
명인박물관,종로구,가회동,37.58016533,126.9851875
보나장신구박물관,종로구,종로1.2.3.4가동,37.573542,126.9845504
북촌동양문화박물관,종로구,삼청동,37.583986,126.9833708
북촌박물관,종로구,가회동,37.58043197,126.9847663
북촌생활사박물관,종로구,삼청동,37.584425,126.9829948
삼성출판박물관,종로구,평창동,37.608605,126.9570767
세계장신구박물관,종로구,삼청동,37.580936,126.9818046
쇳대박물관,종로구,이화동,37.57980578,127.0046144
쉼박물관,종로구,부암동,37.59950405,126.9556778
유금와당박물관,종로구,부암동,37.5937185,126.9626563
춘원당한방박물관,종로구,종로1.2.3.4가동,37.5715019,126.9902424
한국색동박물관,종로구,종로1.2.3.4가동,37.573843,126.9920895
상명대학교박물관,종로구,평창동,37.61058485,126.975763
짚풀생활사박물관,종로구,혜화동,37.58490549,126.9998415
한무숙문학관,종로구,혜화동,37.58780091,126.9985915
서울대학교 치의학대학원 치의학박물관,종로구,이화동,37.58045239,126.9971964
성균관대학교 박물관,종로구,종로1.2.3.4가동,37.58722985,126.9931161
국립현대미술관(서울관),종로구,삼청동,37.57862929,126.9800889
박노수미술관,종로구,청운효자동,37.5813192,126.966815
고희동미술관,종로구,가회동,37.58318236,126.988957
OCI 미술관,종로구,종로1.2.3.4가동,37.57323807,126.982131
JCC미술관,종로구,혜화동,37.58716156,127.0018885
금호미술관,종로구,삼청동,37.57746518,126.9799126
상원미술관,종로구,평창동,37.61162656,126.976541
성곡미술관,종로구,사직동,37.57350943,126.969703
세종문화회관 미술관(세종미술관),종로구,사직동,37.57184786,126.9761683
아라리오뮤지엄 인스페이스,종로구,가회동,37.57776184,126.9884166
아르코미술관,종로구,이화동,37.58050139,127.003256
아트선재센터,종로구,삼청동,37.57946209,126.981877
아트센터 나비 미술관,종로구,종로1.2.3.4가동,37.56969128,126.980341
일민미술관,종로구,종로1.2.3.4가동,37.56986758,126.9776553
자하미술관,종로구,부암동,37.58937855,126.960398
토탈미술관,종로구,평창동,37.61212012,126.9756765
학아재미술관,종로구,종로1.2.3.4가동,37.577059,126.9904047
환기미술관,종로구,부암동,37.59408714,126.966112
세화미술관,종로구,사직동,37.56964296,126.972186
대림미술관,종로구,사직동,37.57750352,126.9733647
손기정기념관,중구,중림동,37.5554795,126.9648157
서소문성지역사박물관,중구,중림동,37.56056785,126.9688672
농협 농업박물관,중구,소공동,37.56649912,126.9685556
배재학당역사박물관,중구,소공동,37.56378783,126.9720891
샬트르성바오로수녀회 역사박물관,중구,명동,37.56222799,126.987827
안중근의사기념관,중구,회현동,37.55346849,126.9804043
우리은행 은행사박물관,중구,회현동,37.55943907,126.9817507
이화박물관,중구,소공동,37.56617664,126.9713244
종이나라박물관,중구,장충동,37.55964972,127.0061539
초전섬유퀼트박물관,중구,명동,37.55812812,126.9842295
한국금융사박물관,중구,명동,37.56859523,126.9764331
한국은행 화폐금융박물관,중구,소공동,37.5625152,126.9797235
한국현대문학관,중구,장충동,37.55962115,127.0041031
동국대학교 박물관,중구,필동,37.55893664,126.9987376
