name,gu_name,dong_name,latitude,longitude,type
삼성중앙,강남구,삼성동,37.513011,127.053282,지하철
사평,서초구,반포동,37.504206,127.015259,지하철
구반포,서초구,반포동,37.501364,126.987332,지하철
흑석(중앙대입구),동작구,흑석동,37.50877,126.963708,지하철
샛강,영등포구,여의도동,37.517274,126.928422,지하철
당산,영등포구,당산동6가,37.533406,126.902809,지하철
염창,양천구,목동,37.546936,126.874916,지하철
증미,강서구,등촌동,37.557402,126.861939,지하철
양천향교,강서구,가양동,37.568381,126.841333,지하철
김포공항,강서구,방화동,37.561916,126.802152,지하철
청량리(서울시립대입구),동대문구,전농동,37.579956,127.044585,지하철
곤제,의정부시,용현동,37.750471,127.083715,지하철
혜화,종로구,동숭동,37.582336,127.001844,지하철
의정부중앙,의정부시,의정부동,37.743676,127.049565,지하철
경전철의정부,의정부시,의정부동,37.737202,127.043257,지하철
한성대입구(삼선교),성북구,삼선동1가,37.588458,127.006221,지하철
둔전,용인시 처인구,포곡읍 둔전리,37.267051,127.21364,지하철
김량장,용인시 처인구,김량장동,37.237247,127.198781,지하철
초당,용인시 기흥구,중동,37.260752,127.159443,지하철
강남대,용인시 기흥구,구갈동,37.270161,127.126033,지하철
수유(강북구청),강북구,수유동,37.638052,127.025732,지하철
파주,파주시,파주읍 봉암리,37.815298,126.792783,지하철
운정,파주시,야당동,37.725826,126.767257,지하철
백마,고양시 일산동구,백석동,37.658239,126.794461,지하철
화전,고양시 덕양구,화전동,37.602888,126.868387,지하철
서강대,마포구,노고산동,37.551881,126.935711,지하철
제기동,동대문구,용두동,37.578103,127.034893,지하철
이천,이천시,율현동,37.265579,127.44226,지하철
초월,광주시,초월읍 쌍동리,37.374419,127.299,지하철
판교,성남시 분당구,백현동,37.394761,127.111217,지하철
강남구청,강남구,논현동,37.517469,127.041151,지하철
숭의,미추홀구,용현동,37.460789,126.638297,지하철
배방,아산시,배방읍 구령리,36.777629,127.052991,지하철
남부터미널(예술의전당),서초구,서초동,37.485013,127.016189,지하철
남동인더스파크,남동구,고잔동,37.407722,126.695216,지하철
수원,수원시 팔달구,매산로1가,37.265917,126.999422,지하철
보산,동두천시,보산동,37.913702,127.057277,지하철
덕계,양주시,덕계동,37.818486,127.056486,지하철
서동탄,오산시,외삼미동,37.195504,127.051672,지하철
잠원,서초구,잠원동,37.512759,127.01122,지하철
망포,수원시 영통구,영통동,37.245795,127.057353,지하철
기흥,용인시 기흥구,구갈동,37.275061,127.11591,지하철
지평,양평군,지평면 지평리,37.476393,127.629874,지하철
압구정,강남구,신사동,37.527072,127.028461,지하철
신원,양평군,양서면 신원리,37.525545,127.372921,지하철
도심,남양주시,와부읍 도곡리,37.579622,127.222672,지하철
도농,남양주시,다산동,37.608806,127.161153,지하철
망우,중랑구,상봉동,37.59955,127.091909,지하철
금호,성동구,금호동4가,37.548034,127.015872,지하철
동대입구,중구,장충동2가,37.559052,127.005602,지하철
성복,용인시 수지구,성복동,37.313335,127.0801,지하철
정자,성남시 분당구,정자동,37.367098,127.108403,지하철
을지로3가,중구,을지로3가,37.566672,126.992548,지하철
