name,phone,address,url
"BBQ치킨 신사가로수길점","02-3444-0575","서울특별시 강남구 신사동 510-11 2층 201-1호",""
"BBQ치킨 압구정점","02-544-0070","서울특별시 강남구 압구정동 481 주구센터 B동 110호",""
"BBQ치킨 서울강일점","02-427-9211","서울특별시 강동구 강일동 676-1",""
"BBQ치킨 고덕센트럴점","02-427-9282","서울특별시 강동구 고덕동 193-4 1층",""
"BBQ치킨 고덕점","02-426-5802","서울특별시 강동구 고덕동 645-8",""
"BBQ치킨 강동길동점","02-478-8292","서울특별시 강동구 길동 125-4 1층",""
"BBQ치킨 둔촌점","02-486-9288","서울특별시 강동구 둔촌동 518-12 101호",""
"BBQ치킨 명일중앙점","02-481-9282","서울특별시 강동구 명일동 312-127 금안빌 1층",""
"BBQ치킨 명일점","0504-3142-3264","서울특별시 강동구 명일동 329-1 제1층 제4호",""
"BBQ치킨 상일점","02-429-9282","서울특별시 강동구 상일동 276","https://booking.naver.com/booking/6/bizes/763315"
"BBQ치킨 성내점","02-470-8293","서울특별시 강동구 성내동 404-28 1층",""
"BBQ치킨 둔촌시장점","02-470-7292","서울특별시 강동구 성내동 426-24 1층 102호 BBQ",""
"BBQ치킨 암사역점","02-441-9788","서울특별시 강동구 암사동 511-3",""
"BBQ암사2점","02-477-9921","서울특별시 강동구 천호동 243-18",""
"BBQ치킨 천호공원점","02-477-2503","서울특별시 강동구 천호동 296-16 1층 103호(천호동)",""
"BBQ치킨 천호역점","02-488-1887","서울특별시 강동구 천호동 336-27 1층",""
"BBQ치킨 천호점","0504-3142-1183","서울특별시 강동구 천호동 564 104호 BBQ",""
"BBQ치킨 강북스타삼양점","02-988-9992","서울특별시 강북구 미아동 749-14",""
"BBQ치킨 강북스타3호점","02-987-9993","서울특별시 강북구 미아동 811-9 위브 테라스 파크 1층 111호",""
"BBQ치킨 번동점","02-985-0671","서울특별시 강북구 번동 308-1",""
"BBQ치킨 강북스타번동점","02-988-1316","서울특별시 강북구 번동 309 1층 111호",""
"BBQ치킨 강북스타점","02-980-9992","서울특별시 강북구 번동 460-84",""
"BBQ피자","02-985-0671","서울특별시 강북구 번동 460-84 (번동)",""
"BBQ치킨 수유점","02-908-9282","서울특별시 강북구 수유동 248-2",""
"BBQ치킨 등촌행복점","02-6967-1877","서울특별시 강서구 가양동 54-6 더리브골드타워 1층 124호","https://booking.naver.com/booking/6/bizes/636735"
"BBQ치킨 발산점","02-2666-9251","서울특별시 강서구 내발산동 681-28",""
"BBQ치킨 신방화점","0504-3142-0745","서울특별시 강서구 마곡동 768-2 118호","https://booking.naver.com/booking/6/bizes/623455"
"BBQ치킨 발산사거리점","02-2665-9282","서울특별시 강서구 마곡동 801-2",""
"BBQ치킨 방화점","02-2662-8288","서울특별시 강서구 방화동 607-257 104호",""
"BBQ방화역점","02-2663-7798","서울특별시 강서구 방화동 829","https://booking.naver.com/booking/6/bizes/832905"
"BBQ치킨 염창점","02-3662-9282","서울특별시 강서구 염창동 242-29","https://booking.naver.com/booking/6/bizes/296838"
"BBQ치킨 강서화곡점","02-2602-9282","서울특별시 강서구 화곡동 1021-4",""
"BBQ치킨 우장산점","02-2608-8817","서울특별시 강서구 화곡동 1158","https://booking.naver.com/booking/6/bizes/361605"
"BBQ치킨 까치산점","0504-3142-1305","서울특별시 강서구 화곡동 332-12",""
"BBQ치킨 화곡행복점","02-2602-6392","서울특별시 강서구 화곡동 59-11",""
"BBQ치킨 화곡2점","02-2643-2991","서울특별시 강서구 화곡동 772-63","https://booking.naver.com/booking/6/bizes/709889"
"BBQ치킨 화곡곰달래점","02-2602-2202","서울특별시 강서구 화곡동 848-23",""
"BBQ치킨 강서구청점","02-2606-8689","서울특별시 강서구 화곡동 957-23 1층",""
"BBQ치킨 사당역점","02-583-1627","서울특별시 관악구 남현동 1061-59",""
"BBQ치킨 청룡점","0504-3142-0734","서울특별시 관악구 봉천동 1529-67",""
"BBQ치킨 봉천우성점","02-877-1688","서울특별시 관악구 봉천동 1577-31 1층",""
"BBQ서울대점","02-884-9282","서울특별시 관악구 봉천동 1609-5",""
"BBQ신림3점","02-889-9292","서울특별시 관악구 봉천동 1639-8 1층 BBQ치킨 낙성대점",""
"BBQ치킨 봉천중앙점","050-7744-8290","서울특별시 관악구 봉천동 1703 성현동아아파트 상가",""
"BBQ치킨 봉천사랑점","0504-3142-0801","서울특별시 관악구 봉천동 36-10",""
"BBQ치킨 보라매공원점","02-877-9992","서울특별시 관악구 봉천동 493-4",""
"BBQ치킨 보라매공원점","0504-3142-0816","서울특별시 관악구 봉천동 732-17","https://booking.naver.com/booking/6/bizes/834521"
"BBQ치킨 관악행복점","02-882-9912","서울특별시 관악구 봉천동 957-19",""
"BBQ치킨 신림5점","02-883-1704","서울특별시 관악구 봉천동 968-45",""
"BBQ치킨 신림점","0504-3142-1242","서울특별시 관악구 신림동 116-11",""
"BBQ치킨 관악봉천점","02-864-8633","서울특별시 관악구 신림동 1476-12",""
"BBQ참숯바베큐치킨 독산점","02-6339-6919","서울특별시 관악구 신림동 1533-4",""
"BBQ치킨 신림호암로점","02-882-4390","서울특별시 관악구 신림동 1556-1 비비큐",""
"BBQ치킨 관악조원점","02-859-9282","서울특별시 관악구 신림동 1738-1 파로스프라자 B동6호",""
"BBQ치킨 난곡점","02-858-9969","서울특별시 관악구 신림동 475-41",""
"BBQ치킨 낙성대점","02-855-5507","서울특별시 관악구 신림동 525-30",""
"BBQ치킨 청룡스마트점","02-858-8292","서울특별시 관악구 신림동 542-23 1층",""
"BBQ치킨 서울대글로벌공학관점","02-878-6690","서울특별시 관악구 신림동 산56-1 서울대학교 글로벌공학교육센터",""
"BBQ참숯바베큐 광나루점","02-444-1550","서울특별시 광진구 광장동 580 광장12차현대홈타운 1202동 지하102호",""
"BBQ치킨 광나루점","0504-3142-1425","서울특별시 광진구 광장동 581 광장자이아파트","https://booking.naver.com/booking/6/bizes/568855"
"BBQ치킨 구의역점","02-457-1588","서울특별시 광진구 구의동 226-5",""
"BBQ구의점","02-444-9283","서울특별시 광진구 구의동 31-18","https://booking.naver.com/booking/6/bizes/571882"
"BBQ치킨 동서울터미널점","02-446-9282","서울특별시 광진구 구의동 546-1 지하 1층 15호",""
"BBQ치킨 군자점","02-498-7883","서울특별시 광진구 군자동 364",""
"BBQ치킨 군자중앙점","02-434-0077","서울특별시 광진구 군자동 467-3",""
"BBQ치킨 자양3점","0504-3142-2665","서울특별시 광진구 자양동 550-1","https://booking.naver.com/booking/6/bizes/729795"
"BBQ치킨 뚝섬점","02-455-0592","서울특별시 광진구 자양동 602-6",""
"BBQ치킨 자양강변점","02-455-9222","서울특별시 광진구 자양동 652-11","https://booking.naver.com/booking/6/bizes/584518"
"BBQ치킨 중곡점","02-2205-8292","서울특별시 광진구 중곡동 239-44",""
"BBQ치킨 중곡중앙점","02-435-5986","서울특별시 광진구 중곡동 292",""
"BBQ치킨 아차산역점","02-456-9277","서울특별시 광진구 중곡동 88-35","https://booking.naver.com/booking/6/bizes/480006"
"BBQ치킨 화양점","02-466-9299","서울특별시 광진구 화양동 20-25",""
"BBQ치킨 개봉점","0504-3142-1216","서울특별시 구로구 개봉동 329-13","https://booking.naver.com/booking/6/bizes/499321"
"BBQ치킨 개봉1동점","02-2611-8293","서울특별시 구로구 개봉동 66-32","https://booking.naver.com/booking/6/bizes/296838"
"BBQ치킨 고척사거리점","02-2060-2232","서울특별시 구로구 고척동 197-1",""
"BBQ치킨 고척근린시장점","02-2688-8852","서울특별시 구로구 고척동 256-5",""
"BBQ 고척점","02-2625-9295","서울특별시 구로구 고척동 46-21","https://booking.naver.com/booking/6/bizes/361605"
"BBQ치킨 구로점","0504-3142-1442","서울특별시 구로구 구로동 329-71",""
