name,phone,address,url
"비에이치씨양재점","02-577-8583","서울특별시 강남구 개포4동 1236-6",""
"BHC치킨 양재점","0504-3142-1026","서울특별시 강남구 개포4동 1236-6 102호","https://booking.naver.com/booking/6/bizes/497337"
"BHC치킨 강남논현점","02-546-9282","서울특별시 강남구 논현동 174-7 1층",""
"BHC치킨 한티역점","02-561-3366","서울특별시 강남구 대치동 922-17",""
"BHC치킨 삼성점","02-6084-6330","서울특별시 강남구 삼성동 77-9",""
"BHC치킨 강남구청역점","02-6200-6699","서울특별시 강남구 삼성동 8-5",""
"BHC치킨 일원삼성점","02-3412-9282","서울특별시 강남구 수서동 747 상가동 1층 bhc",""
"BHC치킨 압구정역점","02-547-0875","서울특별시 강남구 신사동 566-35",""
"BHC치킨 압구정로데오점","02-543-2262","서울특별시 강남구 신사동 662-19",""
"BHC치킨 역삼스타점","02-562-5858","서울특별시 강남구 역삼동 664-31",""
"BHC치킨 강남역삼점","02-563-8868","서울특별시 강남구 역삼동 752-18 1층",""
"BHC치킨 역삼푸르지오점","02-567-9979","서울특별시 강남구 역삼동 778-26",""
"BHC치킨 세곡점","02-445-8232","서울특별시 강남구 율현동 71-3 엘리온빌딩 101호",""
"BHC치킨 일원점","02-3411-9289","서울특별시 강남구 일원동 627-11",""
"BHC치킨 강일뉴타운점","02-427-9909","서울특별시 강동구 강일동 677-3",""
"BHC치킨 길동중앙점","02-476-9282","서울특별시 강동구 길동 252-105 신영빌딩 1층 101호 ()",""
"BHC치킨 둔촌점","02-484-4959","서울특별시 강동구 둔촌동 67 1층 103호",""
"BHC치킨 명일점","02-429-9279","서울특별시 강동구 명일동 293-16",""
"BHC치킨 강일점","02-481-8292","서울특별시 강동구 상일동 300-7",""
"BHC치킨 성내점","02-474-9282","서울특별시 강동구 성내동 382-5 1층BHC치킨",""
"BHC치킨 천호역점","02-484-7192","서울특별시 강동구 성내동 38-3",""
"BHC치킨 고덕중앙점","02-428-9285","서울특별시 강동구 암사동 447-7",""
"BHC치킨 암사점","02-426-7177","서울특별시 강동구 암사동 675 상가107",""
"BHC치킨 길동점","02-471-9922","서울특별시 강동구 천호동 123-24",""
"BHC치킨 천호점","0504-3142-1020","서울특별시 강동구 천호동 238-4",""
"BHC치킨 천호대교점","02-6140-9292","서울특별시 강동구 천호동 458-3",""
"BHC치킨 광나루한강공원2호점","02-484-2070","서울특별시 강동구 천호동 481-6",""
"BHC치킨 미아2호점","02-988-2235","서울특별시 강북구 미아동 121-38",""
"BHC치킨 미아점","02-986-9282","서울특별시 강북구 미아동 1354-5","https://booking.naver.com/booking/6/bizes/561457"
"BHC치킨 삼양사거리점","02-980-2638","서울특별시 강북구 미아동 791-957",""
"BHC치킨 미아송중점","02-989-3351","서울특별시 강북구 미아동 90-43",""
"BHC치킨 번동점","02-981-6162","서울특별시 강북구 번동 148-26",""
"BHC치킨 수유역점","02-908-8005","서울특별시 강북구 번동 443-119",""
"BHC치킨 강북구청점","02-998-5577","서울특별시 강북구 수유동 220-47 1층",""
"BHC치킨 수유점","02-900-8866","서울특별시 강북구 수유동 550-51",""
"BHC치킨 증미역점","02-3663-2456","서울특별시 강서구 가양동 449-4 한화비즈메트로 1차 104호",""
"BHC치킨 송정역점","02-2064-8200","서울특별시 강서구 공항동 41-53",""
"BHC치킨 발산점","02-3663-3238","서울특별시 강서구 내발산동 649-6",""
"BHC치킨 우장산역점","02-2662-9234","서울특별시 강서구 내발산동 721-6",""
"BHC치킨 내발산마곡점","02-2667-8192","서울특별시 강서구 내발산동 750-5",""
"BHC치킨 등촌동점","02-2646-7889","서울특별시 강서구 등촌동 510-2",""
"BHC치킨 양천향교역점","02-3661-8292","서울특별시 강서구 등촌동 684-3",""
"BHC치킨 가양점","02-3663-9263","서울특별시 강서구 등촌동 707-1",""
"BHC치킨 마곡점","02-2666-8892","서울특별시 강서구 마곡동 768-2",""
"BHC치킨 신방화사거리점","02-2662-4800","서울특별시 강서구 방화동 180-14",""
"BHC치킨 방화점","02-2662-3330","서울특별시 강서구 방화동 597-31",""
"BHC치킨 염창점","02-3661-9282","서울특별시 강서구 염창동 267-17",""
"BHC치킨 까치산역점","02-2692-9288","서울특별시 강서구 화곡8동 897-17",""
