name,phone,address,url
"교촌치킨 개포1호점","02-573-5699","서울특별시 강남구 개포동 1229-18",""
"교촌치킨 개포2호점","02-577-9667","서울특별시 강남구 개포동 158-4 교촌치킨 개포2호점",""
"교촌치킨 논현1호점","02-540-2183","서울특별시 강남구 논현동 164-16 1층",""
"교촌치킨대치1호점","02-556-3599","서울특별시 강남구 대치동 936",""
"교촌치킨 대치2호점","02-556-9963","서울특별시 강남구 대치동 989-4 1층",""
"교촌치킨 도곡점","02-6494-0103","서울특별시 강남구 도곡동 416-4",""
"교촌치킨삼성1호점","02-515-2399","서울특별시 강남구 삼성동 44-18",""
"교촌치킨 일원본동점","02-2226-4080","서울특별시 강남구 수서동 747",""
"교촌치킨 압구정신사점","02-547-9945","서울특별시 강남구 신사동 640-5 대성빌딩 1층",""
"교촌치킨 강남역점","02-596-0909","서울특별시 강남구 역삼동 619-28 1층",""
"교촌치킨 역삼1호점","02-566-9942","서울특별시 강남구 역삼동 837-15",""
"교촌치킨 일원1동점","02-459-1006","서울특별시 강남구 일원동 645",""
"교촌치킨 세곡점","02-2226-1991","서울특별시 강남구 자곡동 611 상가 103호",""
"교촌치킨청담역점","02-515-9995","서울특별시 강남구 청담동 73 진흥아파트",""
"교촌치킨 강일점","02-426-6692","서울특별시 강동구 강일동 679-3 강일리슈빌에스",""
"교촌치킨 상일점","02-441-1991","서울특별시 강동구 고덕동 200-3 재도빌딩 1층",""
"교촌치킨 고덕1호점(서울)","02-481-9504","서울특별시 강동구 고덕동 650-1",""
"교촌치킨 길1호점","02-473-0092","서울특별시 강동구 길동 347-31 코튼빌딩",""
"교촌치킨 길동역점","02-478-6780","서울특별시 강동구 길동 388-3",""
"교촌치킨 둔촌1호점","02-475-9295","서울특별시 강동구 둔촌2동 454-5",""
"교촌치킨 명일1호점","02-3426-9199","서울특별시 강동구 명일동 328-2",""
"교촌치킨 상일2호점","02-428-9266","서울특별시 강동구 상일동 514 A동 114호",""
"교촌치킨 성내점","02-485-9293","서울특별시 강동구 성내동 509-7",""
"교촌치킨 암사2호점","02-427-9982","서울특별시 강동구 암사동 451-18 1층 교촌치킨",""
"교촌치킨 암사1호점","02-426-8533","서울특별시 강동구 암사동 504-37 1층",""
"교촌치킨 천호1호점","02-470-9908","서울특별시 강동구 천호동 571 상가동 1층 103-113,114호",""
"교촌치킨 미아역점","02-989-6288","서울특별시 강북구 미아동 131-8 1층",""
"교촌치킨 미아사거리점","02-984-3434","서울특별시 강북구 미아동 55-5 1층 교촌치킨",""
"교촌치킨 미아1호점","02-987-9280","서울특별시 강북구 미아동 561-2 101동104호",""
"교촌치킨 번동점","02-981-0991","서울특별시 강북구 번동 169-1 1층",""
"교촌치킨 수유역점","02-903-3693","서울특별시 강북구 번동 461-127",""
"교촌치킨 수유1호점","02-994-8911","서울특별시 강북구 수유동 385-2",""
"교촌치킨 수유2호점","02-985-1991","서울특별시 강북구 수유동 57-2 1, 2층",""
"교촌치킨 수유2호점","02-985-1991","서울특별시 강북구 수유동 57-2 1, 2층",""
"교촌치킨 덕성여대점","02-900-3123","서울특별시 강북구 우이동 72-133 1층",""
"교촌치킨 발산점","02-2663-6077","서울특별시 강서구 내발산동 648-15 시천빌딩 1층",""
"교촌치킨 등촌점","02-2647-2328","서울특별시 강서구 등촌동 649-14 우림보오피스텔 108-1 2호",""
"교촌치킨 가양점","02-3665-3433","서울특별시 강서구 등촌동 75-1 삼부르네상스오피스텔",""
"교촌치킨 마곡역점","02-3664-1991","서울특별시 강서구 마곡동 774-1 마곡GMG엘스타 1층, 2층",""
"교촌치킨 마곡1호점","02-3662-5556","서울특별시 강서구 마곡동 784-11",""
"교촌치킨 방화1호점","02-2661-1990","서울특별시 강서구 방화동 571-1",""
