시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
코리아나미술관,사립,서울특별시 강남구 언주로 827,,37.524071,127.032811,031-722-7000,코리아나미술관,,,10:00,18:00,10:00,18:00,일+신정+설 연휴+추석 연휴,4000,3000,3000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
밀알미술관,사립,서울특별시 강남구 일원로 90,,37.48578132,127.0820739,02-3412-0061,밀알미술관,,,09:30,17:00,09:30,17:00,국경일,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
피규어뮤지엄W,사립,서울특별시 강남구 선릉로158길 3,,37.5257998,127.0403869,070-7404-2240,피규어뮤지엄W,,,11:00,19:00,11:00,19:00,월+신정+설 연휴+추석 연휴,15000,13500,12000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
K현대미술관,사립,서울특별시 강남구 선릉로 807,,37.52438077,127.0391734,02-2138-0952,K현대미술관,,,10:00,19:00,10:00,19:00,월,15000,12000,10000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
경기여고경운박물관,사립,서울특별시 강남구 삼성로 29,,37.48691615,127.0654539,02-3463-1336,경기여고경운박물관,,,10:00,16:00,00:00,00:00,일+공휴일,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
세계골프역사박물관,사립,서울특별시 강남구 테헤란로 528,,37.5080761,127.0620024,02-2192-3005,세계골프역사박물관,,,10:00,19:00,00:00,00:00,일+공휴일,5000,3000,3000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
코리아나 화장박물관,사립,서울특별시 강남구 언주로 827,,37.524071,127.032811,031-722-7000,코리아나 화장박물관,,,11:00,18:00,00:00,00:00,월+토+일+공휴일+근로자의날,4000,3000,3000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
도산안창호기념관,사립,서울특별시 강남구 도산대로45길 20,,37.5239121,127.0356029,02-541-1800,도산안창호기념관,,,10:00,18:00,11:00,18:00,신정+설 연휴+추석 연휴,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
관세박물관,국립,서울특별시 강남구 언주로 721,,37.51830058,127.0337768,02-510-1082,관세박물관,,,09:30,18:00,00:00,00:00,토+일+공휴일,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
탄허기념박물관,사립,서울특별시 강남구 밤고개로14길 13-51,,37.4789983,127.1029546,02-445-8486,탄허기념박물관,,,10:30,17:00,10:30,17:00,월+신정+설 연휴+추석 연휴,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
호림박물관 신사분관,사립,서울특별시 강남구 도산대로 317,,37.5226393,127.0363446,02-858-2500,호림박물관 총무부,,,10:00,17:00,00:00,00:00,월+토+일+공휴일+근로자의날,4000,2000,2000,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
포스코미술관,사립,서울특별시 강남구 테헤란로 440,,37.50581326,127.056137,02-3457-1665,포스코미술관,,,10:00,19:00,00:00,00:00,일+공휴일,0,0,0,,,,02-3423-5933,서울특별시 강남구청,2024-07-18
