"시설명",박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
"예송미술관",공립,서울특별시 송파구 백제고분로 242,서울특별시 송파구 삼전동 62-2,37.50235785,127.0934902,02-2147-2810,서울특별시 송파구청,http://www.songpa.go.kr,미술관,10:00,18:00,00:00,00:00,일+법정공휴일,0,0,0,,송파구민들에게 수준 높은 문화향유의 기회를 제공하기 위하여 다채로운 기획전시 및 송파에서 활동하는 시각예술가들의 창작활동을 지원하고 있습니다.,2호선 종합운동장 4번출구 : 350+3314+3417+34182호선 잠실역 5번출구 : 3314+33158호선 석촌역 7번출구 : 340+350+3012,02-2147-2810,서울특별시 송파구청,2023-01-11
"한국광고박물관",사립,서울특별시 송파구 올림픽로35길 137,서울특별시 송파구 신천동 7-11,37.51592726,127.0996432,02-2144-0116,한국방송광고진흥공사,http://admuseum.kobaco.co.kr/main.jsp,박물관,09:30,17:30,00:00,00:00,월+법정공휴일,0,0,0,,"한국광고박물관은 광고산업과 광고문화 발전을 위한 광고인프라시설로서 2008년 11월 7일에 개관하였습니다. 광고박물관은 한국의 광고역사, 광고의 순기능, 광고제작과정 등을 유물, 광고자료, 멀티미디어 체험을 통해 이해 할 수 있는 광고 전문박물관으로서 국내 유일의 디지털아카이브관을 구축하여 사라져 가는 역사적인 영상 인쇄광고 자료를 보존하고 있습니다","지하철 2,8호선 잠실역 7번 출구 도보 5분+간선버스(301+320+303+360+362+730)+지선버스(2225+2311+2412+3215+3216+3217+3312+3313+3314+3315+3411+3412+3413+3414+3415)+광역버스(9202+ 9203+9403)+공항버스(600+606)+승용차 유료 주차",02-2144-0116,한국방송광고진흥공사,2023-01-11
"소마미술관",사립,서울특별시 송파구 위례성대로 51,서울특별시 송파구 방이동 88-21,37.51686487,127.1181845,02-425-1077,국민체육진흥공단,http://soma.kspo.or.kr/,미술관,10:00,18:00,10:00,18:00,월+1월 1일+설 당일+추석 당일,3000,2000,1000,무료(만65세이상+국가유공자+장애인(1~3급이상동반1인까지 무료),소마미술관은 국민체육진흥공단이 국민의 예술적 정서함양을 위하여 2004년 9월 개관한 대중지향적 문화예술공간입니다.,올림픽공원 평화의문광장 정류장 일반버스30일반버스30-5파란버스340녹색버스3412녹색버스3413 올림픽공원 정류장 일반버스30일반버스30-5녹색버스3412녹색버스34138호선 몽촌토성역8번 출구 / 평화의 문 내에서 오른편으로 200M 도보,02-410-1070,스포츠레져사업본부,2023-01-11
"서울올림픽기념관",사립,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.5203397,127.1155179,02-410-1354,국민체육진흥공단,http://88olympic.kspo.or.kr,기념관,10:00,18:00,10:00,18:00,월+1월 1일+설 당일+추석 당일,0,0,0,,"서울올림픽기념관은 서울올림픽의 영광을 재조명하고 올림픽 정신을 계승 발전시키기위함으로 지금은 다양한 이벤트 프로그램의 운영, 사이버 기념관의 활성화 및 스포츠센터와 연계한 체험학습 프로그램개발, 올림픽 기념사업등을 시민들이 참여하고 즐길수 있는 열려있는 공간으로 구성되어 있다",승용차 :올림픽회관(서1문) 또는 올림픽파크텔(서2문) 입구 이용지하철 :8호선 몽촌토성역 하차 1번출구 (도보 약 4분),02-410-1354,국민체육진흥공단,2023-01-11
"롯데월드민속박물관",사립,서울특별시 송파구 올림픽로 240,서울특별시 송파구 잠실동 40-1,37.51130961,127.0981418,1661-2000,㈜롯데호텔,http://www.lotteworld.com,박물관,11:00,19:00,11:00,20:00,연중무휴,5000,3000,3200,"65세이상 -청소년요금적용장애인,국가유공자는 증 보유시 (동반1인포함) : 단체요금으로 적용","구석기시대부터 일제강점기까지의 우리역사를 시대별로 구분하여 실제유물과 함께 모형으로 재현하여 알기 쉽고 재미있게 관람이 가능하도록 전시되어 있습니다. 특히, 모형촌은 8분의 1로 축소된 2천여 점의 인형을 이용하여 조선시대의 사계절과 세시풍속,관혼상제, 양반과 서민들의 생활모습을 사실적으로 표현하였습니다.","버스지선버스지선버스 3217번+3313번+3314번+3315번+3317번+3411번+3414번+4319번급행열차급행열차 1007-1번+1100번+1700번+2000번+6900번+7007번+8001번간선버스간선버스 301번+341번+360번+362번공항버스공항버스 6000번+6006번+6705번+6706A번지하철 2호선 잠실역 4번출구 하차,",1661-2000,㈜롯데호텔,2023-01-11
"한미사진미술관",사립,"서울특별시 송파구 위례성대로14, 한미타워 19.20층",서울특별시 송파구 방이동 45,37.51659259,127.1139562,02-418-1315,가현문화재단,http://www.photomuseum.or.kr/,미술관,10:00,19:00,11:00,18:30,매주일요일,6000,5000,0,1000원 할인(10인 이상 단체 (* 관람료는 전시에 따라 달라집니다.))+할인(사진전공 학생+송파구민(신분증 확인))+무료(10인이상 경로단체(65세 이상)+장애우+미취학 아동+국가유공자),"한미사진미술관은 전시를 비롯하여 작가지원 및 학술, 출판, 국제 교류 등의 활동을 하는 한편, 사진문화예술의 활성화를 위해 활동하는 문화예술 단체들을 후원함으로서 상호협력체계를 형성하고 함께 성장할 수 있는 기회를 가지는데 목적이 있습니다. 특히, 한국 근·현대사진을 소장 및 연구함으로서 한국사진사의 체계화를 위해 노력하고 있습니다",지하철 :8호선 몽촌토성역 2번 출구 50m 직진 올림픽 공원 평화의 문 맞은편 한미타워 19+20층버스 : 30+30-5+333+3412+3413 _ 올릭픽공원역 하차,02-418-1315,가현문화재단,2023-01-11
"한성백제박물관",공립,"서울특별시 송파구 위례성대로71, 한성백제박물관",서울특별시 송파구 방이동 88-20,37.51542872,127.1208007,02-2152-5800,서울특별시,http://baekjemuseum.seoul.go.kr,박물관,09:00,19:00,09:00,19:00,월(공휴일인 경우 휴관하지 않음)+1월 1일+시장이 정하는 휴관일(관장에게 위임),0,0,0,상설전시실 무료 (특별·기획전시는 유료로 진행될 수 있음),한성백제 박물관은 서울시 송파구의 고대역사 유적지에 건립된 박물관으로 고대 역사와 문화를 연구하여 알리고자 설립되었다,지하철 :8호선 몽촌토성역 1번 출구에서 남2문 방향으로 650m (도보10~15분)           5호선 올림픽공원역 3번 출구에서 남2문 방향으로 1km(도보15~20분)버스 : 올림픽공원역 방향에서 오실 때 30-5+3412+3413 한성백제박물관 하차         몽촌토성역 방향에서 오실 때 30+30-5+3412+3413 올림픽베어스타운 하차         방이동사거리 방향에서 오실 때 3216+3414 한성백제박물관 하차자가용 : 잠실+풍납동 방면에서 오실 때 (남2문앞에서 유턴 후 250m에서 진입)       둔촌동+오금동 방면에서 오실 때 (남2문에서 남3문방향으로 250m에서 진입),02-2152-5800,서울특별시,2023-01-11
"몽촌역사관",공립,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.5203397,127.1155179,02-2152-5900,서울특별시,http://baekjemuseum.seoul.go.kr,역사관,09:00,18:00,09:00,18:00,월+1월 1일,0,0,0,,청동기시대 움집·백제의 도읍이었던 풍납토성과 몽촌토성·삼국시대 고분군 등 문화유적과 유물을 주로 전시하고 있어 서울의 역사와 문화를 몸소 느끼고 체험할 수 있답니다.특히 몽촌역사관에서는 어린이들을 대상으로 한 다채로운 교육프로그램 및 문화행사를 운영하고 있습니다.,지하철 8호선 - 몽촌토성역 1번 출구 하차. 평화의 문 안으로 들어와서 도보로 20분,02-2152-5900,서울특별시,2023-01-11
"롯데월드아쿠아리움",사립,서울특별시 송파구 올림픽로300,서울특별시 송파구 신천동 29,37.51375196,127.1044469,1661-2000,㈜롯데호텔,http://www.lotteworld.com,놀이시설,10:00,22:00,10:00,22:00,연중무휴,29000,27000,25000,연간이용권 어른및 청소년 : 90000원+어린이 : 70000원(1년간 자유임장),"사람과 자연이 꿈꾸는 바다를 매개원으로 하는 사람과 자연이 더불어 사는 즐거운 세상을 꿈꾸는 롯데월드 아쿠아리움. 깊고 드넓은 해양 생태계 그대로를 재현하겠다는 신념과 고집으로 지금까지의 아쿠아리움에 대한모든 기준을 버리고 해양생물의 입장이 되어, 당신의 입장이 되어 원점에서부터 시작합니다","버스지선버스지선버스 3217번+3313번+3314번+3315번+3317번+3411번+3414번+4319번급행열차급행열차 1007-1번+1100번+1700번+2000번+6900번+7007번+8001번간선버스간선버스 301번+341번+360번+362번공항버스공항버스 6000번+6006번+6705번+6706A번지하철 2호선 잠실역 4번출구 하차,",1661-2000,㈜롯데호텔,2023-01-11
"롯데뮤지엄",사립,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29,37.51375196,127.1044469,02-3213-1132,㈜롯데호텔,,미술관,10:30,20:00,10:30,20:00,전시별상이,13000,10000,7000,,현대미술 작품전시,"버스지선버스지선버스 3217번+3313번+3314번+3315번+3317번+3411번+3414번+4319번급행열차급행열차 1007-1번+1100번+1700번+2000번+6900번+7007번+8001번간선버스간선버스 301번+341번+360번+362번공항버스공항버스 6000번+6006번+6705번+6706A번지하철 2호선 잠실역 4번출구 하차,",02-3213-1132,㈜롯데호텔,2023-01-11
