시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
국립중앙박물관,국립,서울특별시 용산구 서빙고로 137,,37.52470233,126.9777412,02-2077-9000,국립중앙박물관,,,10:00,18:00,10:00,18:00,1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
국립한글박물관,국립,서울특별시 용산구 서빙고로 139,,37.5247022358,126.9777402465,02-2124-6200,국립한글박물관,,,10:00,18:00,10:00,18:00,1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
백범김구기념관,사립,서울특별시 용산구 임정로 26,,37.54427794,126.9592546,02-799-3400,백범김구선생기념사업협회,,,10:00,18:00,10:00,18:00,월요일+1월1일+설연휴+추석연휴+기타 관장이 정하는 날,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
전쟁기념관,사립,서울특별시 용산구 이태원로 29,,37.53731288,126.9784661,02-709-3114,전쟁기념사업회,,,09:30,18:00,09:30,18:00,월요일(월요일 포함 연휴때는 연휴 다음날),0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
한익환서울아트박물관,사립,서울특별시 용산구 한남대로 108,,37.53802833,127.004992,02-796-0100,한익환서울아트박물관,,,10:00,18:00,10:00,18:00,일요일+월요일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
숙명여자대학교 정영양자수박물관,대학,서울특별시 용산구 청파로47길 100,,37.54547273,126.9650748,02-710-9134,숙명여자대학교,,,10:00,17:00,00:00,00:00,주말+공휴일+숙명여대 창학기념일(5월22일)+기타 관장이 필요하다고 인정할 때,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
숙명여자대학교박물관,대학,서울특별시 용산구 청파로47길 100,,37.54547273,126.9650748,02-710-9134,숙명여자대학교,,,10:00,17:00,00:00,00:00,주말+공휴일+숙명여대 창학기념일(5월22일)+기타 관장이 필요하다고 인정할 때,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
삼성미술관 Leeum,사립,서울특별시 용산구 이태원로55길 60-16,,37.53846091,126.999294,02-2014-6901,삼성문화재단,,,10:30,18:00,10:30,18:00,월요일+1월1일+설연휴+추석연휴,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
숙명여자대학교 문신미술관,대학,서울특별시 용산구 청파로47길 100,,37.54547273,126.9650748,02-710-9280,숙명여자대학교,,,10:00,17:00,00:00,00:00,주말+공휴일+숙명여대 창학기념일(5월22일)+기타 관장이 필요하다고 인정할 때,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
김세중미술관,사립,서울특별시 용산구 효창원로70길 35,,37.54201614,126.9638815,02-717-5129,김세중미술관,,,11:00,17:00,00:00,00:00,월요일+법정공휴일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
아모레퍼시픽미술관,사립,서울특별시 용산구 한강대로 100,,37.52879082,126.9686757,02-6040-2345,㈜아모레퍼시픽,,,10:00,18:00,10:00,18:00,월요일+1월1일+설연휴+추석연휴,13000,13000,13000,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
용산역사박물관,공립,서울특별시 용산구 한강대로14길 35-29,,37.52557465,126.9656016,02-2199-4620,용산역사박물관,,,10:00,18:00,10:00,18:00,월요일+1월1일+설날 당일+추석 당일,0,0,0,,,,02-2199-7248,서울특별시 용산구청,2024-12-03
