시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
국립민속박물관,국립,서울특별시 종로구 삼청로 37,,37.57590409,126.9768421,02-3704-3114,국립민속박물관,https://www.nfm.go.kr/,,09:00,18:00,09:00,19:00,1월1일+설+추석,0,0,0,,,,02-3704-3114,문화체육관광부,2024-10-02
대한민국역사박물관,국립,서울특별시 종로구 세종대로 198,,37.57371316,126.9783379,02-3703-9200,대한민국역사박물관,http://www.much.go.kr/,,10:00,18:00,10:00,18:00,1월1일+설+추석,0,0,0,,,,02-3703-9200,문화체육관광부,2024-10-02
국립고궁박물관,국립,서울특별시 종로구 효자로 12,,37.57659207,126.9749771,02-3701-7500,국립고궁박물관,https://www.gogung.go.kr/,,10:00,18:00,10:00,18:00,1월1일+설+추석,0,0,0,,,,02-3701-7500,문화체육관광부,2024-10-02
국립경찰박물관,국립,서울특별시 종로구 새문안로 41,,37.56887613,126.9687094,02-3150-0681,국립경찰박물관,http://www.policemuseum.go.kr/,,09:30,17:30,09:30,17:30,월요일+1월1일+설날+추석 당일,0,0,0,,,,02-3150-0681,문화체육관광부,2024-10-02
국립기상박물관,국립,서울특별시 종로구송월길 52,,37.57022174,126.9662042,070-7850-8493,국립기상박물관,https://science.kma.go.kr/museum/,,10:00,18:00,10:00,18:00,월요일+1월1일+설날+추석 당일,0,0,0,,,,070-7850-8493,문화체육관광부,2024-10-02
서울교육박물관,공립,서울특별시 종로구 북촌로5길 48(화동),,37.58126437,126.9838695,02-2011-5780,서울교육박물관,http://edumuseum.sen.go.kr/,,09:00,18:00,09:00,17:00,공휴일+1·3 주 수요일,0,0,0,,,,02-2011-5780,서울특별시,2024-10-02
서울역사박물관,공립,서울특별시 종로구 새문안로 55(신문로2가),,37.57176907,126.9679849,02-724-0274,서울역사박물관,https://museum.seoul.go.kr/,,09:00,20:00,09:00,19:00,1월 1일+매주 월요일,0,0,0,,,,02-724-0274,서울특별시,2024-10-02
서울우리소리박물관,공립,서울특별시 종로구 율곡로 96,,37.57715793,126.989622,02-721-7503,서울우리소리박물관,http://gomuseum.seoul.go.kr/sekm/archive/sori/ArchiveMain.do,,09:00,19:00,09:00,19:00,연중무휴,0,0,0,,,,02-742-2600,서울특별시,2024-10-02
서울공예박물관,공립,서울특별시 종로구 율곡로3길 4,,37.57664817,126.9835334,02-6450-7000,서울공예박물관,https://craftmuseum.seoul.go.kr/main,,10:00,18:00,10:00,18:00,월요일,0,0,0,,,,02-6450-7000,서울특별시,2024-10-02
목인박물관,사립,서울특별시 종로구 인사동11길 20(견지동),,37.573871,126.9836492,02-722-5066,목인박물관,http://www.mokinmuseum.com/,,10:00,19:00,10:00,19:00,월요일+1월 1일+설날+추석 당일,5000,3000,3000,,,,02-722-5066,목인박물관,2024-10-02
