"시설명",박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
"손기정기념관",공립,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,37.5554795,126.9648157,02-364-1936,손기정기념재단,http://www.sonkeechung.com/sonkeechung/main/main.do,,10:00,18:00,10:00,18:00,월요일+1월 1일+설 당일+추석 당일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"서소문성지역사박물관",공립,서울특별시 중구 칠패로 5,서울특별시 중구 중림동 386,37.56056785,126.9688672,02-3147-2401,천주교 서울대교구,https://www.seosomun.org/main.do,,09:00,17:00,09:00,17:00,월요일+1월 1일+설 당일+추석 당일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"농협 농업박물관",사립,서울특별시 중구 새문안로 16,서울특별시 중구 충정로1가 81-9,37.56649912,126.9685556,02-2080-5722,농협중앙회,https://www.agrimuseum.or.kr:472/,,09:00,18:00,09:00,18:00,월요일+공휴일+1월 1일+설 연휴+추석 연휴+근로자의 날,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"배재학당역사박물관",사립,서울특별시 중구 서소문로 11길 19,서울특별시 중구 정동 34-5,37.56378783,126.9720891,02-319-5578,배재학당역사박물관,https://appenzeller.pcu.ac.kr/appenzeller,,10:00,17:00,00:00,00:00,일요일+월요일+공휴일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"샬트르성바오로수녀회 역사박물관",사립,서울특별시 중구 명동길 74-2,서울특별시 중구 충무로2가 12-26,37.56222799,126.987827,02-3706-3255,샬트르성바오로수녀회 서울관구,http://www.spcseoul.or.kr/sub5/sub5_01.php,,10:00,16:00,10:00,16:00,화요일+국경일+성삼일+부활 대축일+성탄 대축일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"안중근의사기념관",사립,서울특별시 중구 소월로91,서울특별시 중구 남대문로5가 471,37.55346849,126.9804043,02-3789-1016,(사)안중근의사숭모회,http://www.ahnjunggeun.or.kr/kwa-intro,,10:00,18:00,10:00,18:00,월요일+1월 1일+설 당일+추석 당일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"우리은행 은행사박물관",사립,"서울특별시 중구 소공로 51, 지하 1층",서울특별시 중구 회현동2가 86,37.55943907,126.9817507,02-2002-5090,우리은행,http://www.woorimuseum.com/wbm/main.do,,10:00,18:00,00:00,00:00,일요일+공휴일+근로자의 날,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"이화박물관",사립,서울특별시 중구 정동길 26,서울특별시 중구 정동 32-1,37.56617664,126.9713244,02-752-3353,이화여자고등학교,http://ewhamuseum.com/,,10:00,17:00,00:00,00:00,월요일+일요일+공휴일+기타 관장이 정하는 휴일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"종이나라박물관",사립,서울특별시 중구 장충단로 166,서울특별시 중구 장충동1가 62-35,37.55964972,127.0061539,02-2279-7901,㈜종이나라,https://cafe.naver.com/papermuseum,,09:00,18:00,00:00,00:00,일요일+국경일,2000,1500,1500,50할인(문화가있는날+단체+경로),,,02-3396-4605,서울특별시 중구청,2024-06-12
"초전섬유퀼트박물관",사립,서울특별시 중구 퇴계로 18길 66,서울특별시 중구 남산동1가 21-3,37.55812812,126.9842295,02-753-4075,사단법인 한국섬유 · 퀼트문화협회,http://www.jculture.co.kr/museum/index1.htm,,10:00,17:00,00:00,00:00,일요일+공휴일,8000,5000,3000,30할인(단체),,,02-3396-4605,서울특별시 중구청,2024-06-12
"한국금융사박물관",사립,서울특별시 중구 세종대로 135-5,서울특별시 중구 태평로1가 62-12,37.56859523,126.9764331,02-2151-7677,신한은행,http://www.beautifulshinhan.co.kr,,10:00,18:00,00:00,00:00,일요일+공휴일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"한국은행 화폐금융박물관",사립,서울특별시 중구 남대문로 39,서울특별시 중구 남대문로3가 110,37.5625152,126.9797235,02-759-4881,한국은행,https://www.bok.or.kr/museum/main/contents.do?menuNo=700112,,10:00,17:00,10:00,17:00,월요일+설 연휴+추석 연휴+근로자의 날+선거일+12월 29일~다음해 1월 2일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
"한국현대문학관",사립,서울특별시 중구 동호로 268,서울특별시 중구 장충동2가 186-210,37.55962115,127.0041031,02-2277-4857,한국문학관협회,,,00:00,00:00,00:00,00:00,휴관중,3000,2000,2000,무료(장애인),,,02-3396-4605,서울특별시 중구청,2024-06-12
"동국대학교 박물관",사립,서울특별시 중구 필동로 1길 30,서울특별시 중구 필동3가 28-47,37.55893664,126.9987376,02-2260-3722,동국대학교,https://dgumuseum.dongguk.edu/main,,10:00,16:00,00:00,00:00,토요일+일요일+공휴일,0,0,0,,,,02-3396-4605,서울특별시 중구청,2024-06-12
