name,phone,address,url
"네네치킨 대치점","02-555-4479","서울특별시 강남구 대치동 902 대치포스코더샵아파트 상가동 지하 1층",""
"네네치킨 도곡점","050-7964-1034","서울특별시 강남구 도곡동 543-7 상가동 107호",""
"네네치킨 신사점","050-7964-1038","서울특별시 강남구 신사동 569-26",""
"네네치킨 역삼1호점","02-568-4479","서울특별시 강남구 역삼동 792-6 1층",""
"네네치킨 강일점","050-7964-0524","서울특별시 강동구 강일동 684 강일리버파크 6단지상가 1층 104호",""
"네네치킨 고덕1점","02-427-3331","서울특별시 강동구 고덕동 294-4 1층",""
"네네치킨 명일점","02-429-4479","서울특별시 강동구 명일동 74 1층",""
"네네치킨 성내점","02-472-4472","서울특별시 강동구 성내동 29-6",""
"네네치킨 암사2점","050-7964-0532","서울특별시 강동구 암사동 439 102",""
"네네치킨 삼각산점","050-7982-5750","서울특별시 강북구 미아동 1357-3 삼각산아이원단지상가402-101",""
"네네치킨 수유점","02-981-0092","서울특별시 강북구 미아동 238-41",""
"네네치킨 미아점","050-7982-4907","서울특별시 강북구 미아동 309-55",""
"네네치킨 번동점","050-4570-0927","서울특별시 강북구 번동 412-52 1층 좌측",""
"네네치킨 수유2점","050-7982-4448","서울특별시 강북구 수유동 605-340",""
"네네치킨 가양등촌1점","02-3661-4481","서울특별시 강서구 가양2동 1479-2 가양오피스텔 101호",""
"네네치킨 수명산파크점","02-2667-8892","서울특별시 강서구 내발산동 754-2 1층",""
"네네치킨 등촌3동점","02-3661-4492","서울특별시 강서구 등촌3동 697-1 그랜드종합상가",""
"네네치킨 등촌2점","02-2644-6969","서울특별시 강서구 등촌동 510-12 네네치킨 등촌2동점",""
"네네치킨 방화1점","0504-0953-0808","서울특별시 강서구 방화동 281-65",""
"네네치킨 방화2점","02-2662-9229","서울특별시 강서구 방화동 598-39",""
"네네치킨 화곡1동점","050-7964-0999","서울특별시 강서구 화곡1동 362-92 1층",""
