"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3120000","CDFE1230002009000002","2009-12-14","","01","영업/정상","13","영업중","","","","","1644-2962","","120-750","서울특별시 서대문구 대현동 11-1 이화여자대학교 ECC내 지하4층","서울특별시 서대문구 이화여대길 52, 지하4층 (대현동, 이화여대 ECC)","120-750","ECC 삼성홀","2025-03-05 09:29:55","U","2024-12-03 00:07:00.0","","195287.766418517","451143.789306014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFE1230002017000005","2017-11-13","","02","휴업","02","휴업","","2023-06-13","2023-12-31","","","","","서울특별시 종로구 동숭동 1-58 ","서울특별시 종로구 대학로8가길 30, 2층 (동숭동)","03086","룸어씨어터","2023-06-13 14:22:49","U","2023-06-15 02:40:00.0","","200153.322797562    ","453332.518876344    ","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3000000","CDFE1230002019000008","2019-10-07","","02","휴업","02","휴업","","2022-11-01","2023-12-31","","02-3143-5959","","","서울특별시 종로구 혜화동 90-18 석정홀딩스 빌딩 ","서울특별시 종로구 대학로 146, 석정홀딩스 빌딩 4층 (혜화동)","03084","판타스틱 전용관","2023-01-03 17:45:08","U","2023-01-05 02:40:00.0","","200113.874740135    ","453549.526436303    ","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3000000","CDFE1230002014000010","2014-07-31","","02","휴업","02","휴업","","2022-11-01","2023-12-31","","02-946-0502","","110-522","서울특별시 종로구 명륜2가 8-9 지하1층 ","서울특별시 종로구 성균관로4길 48 (명륜2가, 지하1층)","110-522","대학로 아름다운 극장","2023-01-03 17:45:44","U","2023-01-05 02:40:00.0","","199933.543569824    ","453600.903598962    ","공연장","공연장","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3000000","CDFE1230002014000017","2014-09-23","","02","휴업","02","휴업","","2023-01-02","2023-12-31","","02-6326-1333","","110-510","서울특별시 종로구 동숭동 199-33 ","서울특별시 종로구 이화장길 72, 2층 (동숭동)","110-510","삼형제극장","2023-01-12 14:57:28","U","2023-01-14 02:40:00.0","","200341.000623629    ","452912.172681979    ","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3000000","CDFE1230002007000003","2007-03-21","","03","폐업","03","폐업","2021-01-31","","","","02-743-4667","","","서울특별시 종로구 혜화동 163-24 동양예술극장 ","서울특별시 종로구 대학로14길 29, 동양예술극장 4층 (혜화동)","03084","동양예술극장 1관","2021-02-18 17:24:34","U","2021-02-20 02:40:00.0","","200136.734882861    ","453589.791391142    ","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFE1230002007000006","2007-04-26","","03","폐업","03","폐업","2022-04-14","","","","","","110-470","서울특별시 종로구 연지동 136-25 연동교회문화복지관 지하2층 ","서울특별시 종로구 대학로3길 9 (연지동,연동교회문화복지관 지하2층)","","열림홀","2022-04-14 17:08:21","U","2022-04-17 02:40:00.0","","200041.136571835    ","452418.002097875    ","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3000000","CDFE1230002007000007","2007-05-31","","03","폐업","03","폐업","2017-12-20","","","","745-5570","","110-809","서울특별시 종로구 동숭동 1-96번지 지하1층 ","서울특별시 종로구 대학로10길 26 (동숭동,지하1층)","","서울콘서트홀","2017-12-22 14:57:46","I","2018-08-31 23:59:59.0","","200259.173497292    ","453256.205840375    ","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFE1230002007000010","2007-10-24","","03","폐업","03","폐업","2014-04-30","","","","741-6487","","110-530","서울특별시 종로구 혜화동 74-38번지 ","서울특별시 종로구 혜화로 10-3 (혜화동)","","소극장 모시는 사람들","2014-05-23 17:23:04","I","2018-08-31 23:59:59.0","","199973.586488747    ","453814.889330448    ","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFE1230002007000011","2007-12-13","","03","폐업","03","폐업","2012-12-26","","","","747-0366","","110-111","서울특별시 종로구 관철동 33-1번지 ","서울특별시 종로구 삼일대로 386  (관철동)","","브레이크아웃 전용극장","2013-01-09 16:27:20","I","2018-08-31 23:59:59.0","","198883.495161441    ","451852.440739439    ","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
