"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3060000","CDFF4220002009000007","2009-09-25","","01","영업/정상","13","영업중","","","","","02-3147-3891","","","서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층","서울특별시 중랑구 망우로30길 3 (상봉동)","02120","메가박스중앙(주) 상봉지점 7관","2025-03-04 19:58:53","U","2024-12-03 00:06:00.0","","206526.002200022","454549.167447113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3060000","CDFF4220002009000005","2009-09-25","","01","영업/정상","13","영업중","","","","","02-3147-3891","","","서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층","서울특별시 중랑구 망우로30길 3 (상봉동)","02120","메가박스중앙(주) 상봉지점 5관","2025-03-04 19:56:12","U","2024-12-03 00:06:00.0","","206526.002200022","454549.167447113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3060000","CDFF4220002009000006","2009-09-25","","01","영업/정상","13","영업중","","","","","02-3147-3891","","","서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층","서울특별시 중랑구 망우로30길 3 (상봉동)","02120","메가박스중앙(주) 상봉지점 6관","2025-03-04 19:57:55","U","2024-12-03 00:06:00.0","","206526.002200022","454549.167447113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3060000","CDFF4220002009000004","2009-09-25","","01","영업/정상","13","영업중","","","","","02-3147-3891","","","서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층","서울특별시 중랑구 망우로30길 3 (상봉동)","02120","메가박스중앙(주) 상봉지점 4관","2025-03-04 19:54:45","U","2024-12-03 00:06:00.0","","206526.002200022","454549.167447113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFF4220001999000011","1999-12-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 816 ","서울특별시 강남구 강남대로 422, 지하 3층 (역삼동)","06129","씨티극장 3관","2023-06-29 15:54:22","U","2023-07-01 02:40:00.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19991222",""
"3220000","CDFF4220001999000012","1999-12-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 816 ","서울특별시 강남구 강남대로 422, 지하 3층 (역삼동)","06129","씨티극장 4관","2023-06-29 15:53:57","U","2023-07-01 02:40:00.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19991222",""
"3000000","CDFF4220002002000001","2002-02-01","","03","폐업","03","폐업","2008-12-26","","","","708-5003","","110-470","서울특별시 종로구 연지동 270번지 ","서울특별시 종로구 종로33길 15  (연지동)","","연강홀","2008-12-26 10:48:39","I","2018-08-31 23:59:59.0","","200038.343054497    ","452178.774541021    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20020201",""
"3000000","CDFF4220002003000001","2003-02-12","","03","폐업","03","폐업","2008-04-03","","","","745-4231","","110-320","서울특별시 종로구 낙원동 284-6번지 ","서울특별시 종로구 삼일대로 428  (낙원동)","","필름포럼1관","2008-06-30 14:58:20","I","2018-08-31 23:59:59.0","","198852.959716775    ","452253.942584507    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000002","2003-02-12","","03","폐업","03","폐업","2004-11-25","","","","739-9932","","110-111","서울특별시 종로구 관철동 13-13번지 ","서울특별시 종로구 종로12길 15  (관철동)","","코아아트홀 1관","2004-12-03 14:22:34","I","2018-08-31 23:59:59.0","","198697.706712628    ","451897.834324531    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000003","2003-02-12","","03","폐업","03","폐업","2004-11-25","","","","739-9932","","110-111","서울특별시 종로구 관철동 13-13번지 ","서울특별시 종로구 종로12길 15  (관철동)","","코아아트홀 2관","2004-12-03 14:23:13","I","2018-08-31 23:59:59.0","","198697.706712628    ","451897.834324531    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000004","2003-02-12","","03","폐업","03","폐업","2003-07-30","","","","3672-0182","","110-530","서울특별시 종로구 혜화동 185번지 ","서울특별시 종로구 대학로 144  (혜화동)","","동숭시네마텍 1관","2003-07-31 09:40:49","I","2018-08-31 23:59:59.0","","200121.813720325    ","453518.007319338    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000005","2003-02-12","","03","폐업","03","폐업","2004-10-15","","","","3672-0182","","110-530","서울특별시 종로구 혜화동 185번지 ","서울특별시 종로구 대학로 144  (혜화동)","","동숭시네마텍 2관","2005-09-06 13:43:15","I","2018-08-31 23:59:59.0","","200121.813720325    ","453518.007319338    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000006","2003-02-12","","03","폐업","03","폐업","","","","","2277-3015","","110-420","서울특별시 종로구 관수동 59-7번지 4층, 5중?상층 ","","","서울극장 1관","2014-04-03 19:05:59","I","2018-08-31 23:59:59.0","","199205.329842153    ","451945.821955137    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030212",""
"3000000","CDFF4220002003000007","2003-02-12","","03","폐업","03","폐업","2021-09-07","","","","2277-3015","","110-420","서울특별시 종로구 관수동 59-7 2층, 3중?상층 ","서울특별시 종로구 돈화문로 13, 2층, 3중?상층 (관수동)","03192","서울극장 2관","2021-09-07 12:58:29","U","2021-09-09 02:40:00.0","","199205.329842153    ","451945.821955137    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20030212",""
"3000000","CDFF4220002003000008","2003-02-12","","03","폐업","03","폐업","2021-09-07","","","","2277-3015","","","서울특별시 종로구 관수동 59-7 지하1층 ","서울특별시 종로구 돈화문로 13, 지하1층 (관수동, 서울극장)","03192","서울극장 3관","2021-09-07 12:58:48","U","2021-09-09 02:40:00.0","","199205.329842153    ","451945.821955137    ","영화상영관","영화상영관","0","","","0","6","2","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20030212",""
