"동별(1)",동별(2),동별(3),2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,소계,4482063,9597372,4619963,4977409,9331828,4505355,4826473,265544,114608,150936,2.08,1824895
"합계",종로구,소계,72166,149608,71365,78243,138336,66570,71766,11272,4795,6477,1.92,29840
"합계",종로구,사직동,4557,9208,4105,5103,8962,3960,5002,246,145,101,1.97,1941
"합계",종로구,삼청동,1107,2460,1191,1269,2219,1065,1154,241,126,115,2,651
"합계",종로구,부암동,4135,9318,4371,4947,9051,4247,4804,267,124,143,2.19,1993
"합계",종로구,평창동,7134,17454,8103,9351,17251,7997,9254,203,106,97,2.42,3832
"합계",종로구,무악동,2986,7867,3604,4263,7839,3590,4249,28,14,14,2.63,1546
"합계",종로구,교남동,4302,9713,4480,5233,9552,4389,5163,161,91,70,2.22,1753
"합계",종로구,가회동,1875,3882,1825,2057,3778,1770,2008,104,55,49,2.01,879
"합계",종로구,종로1.2.3.4가동,4898,8549,4931,3618,6668,4001,2667,1881,930,951,1.36,1847
"합계",종로구,종로5.6가동,3533,5852,3056,2796,5294,2781,2513,558,275,283,1.5,1116
"합계",종로구,이화동,4350,7533,3480,4053,7009,3272,3737,524,208,316,1.61,1409
"합계",종로구,창신1동,2653,5423,2851,2572,4495,2355,2140,928,496,432,1.69,1302
"합계",종로구,창신2동,3910,8574,4407,4167,7333,3778,3555,1241,629,612,1.88,1970
"합계",종로구,창신3동,2731,6446,3184,3262,6231,3066,3165,215,118,97,2.28,1395
"합계",종로구,숭인1동,2992,6075,2913,3162,5728,2769,2959,347,144,203,1.91,1356
