주소2,주소3,안전,여가,식당,의료,마트,편의 시설,대중교통,행정동코드
강남구,개포1동,27,20,20,35,24,22,25,11230680
강남구,개포2동,27,22,22,29,24,22,27,11230800
강남구,개포3동,28,23,22,37,29,24,26,11230511
강남구,개포4동,29,30,28,36,33,26,30,11230710
강남구,논현1동,29,44,47,53,55,39,29,11230520
강남구,논현2동,29,44,49,47,51,35,32,11230530
강남구,대치1동,29,30,26,56,45,32,32,11230600
강남구,대치2동,28,31,29,35,35,31,29,11230790
강남구,대치4동,30,42,56,62,66,37,29,11230630
강남구,도곡1동,29,31,29,47,39,27,32,11230660
강남구,도곡2동,28,32,31,43,36,28,29,11230670
강남구,삼성1동,28,35,36,37,38,37,32,11230580
강남구,삼성2동,29,35,37,45,46,33,29,11230590
강남구,세곡동,27,22,22,24,24,21,27,11230760
강남구,수서동,28,25,25,37,30,23,29,11230750
강남구,신사동,28,35,42,42,38,30,24,11230510
강남구,압구정동,28,36,35,39,33,32,25,11230770
강남구,역삼1동,29,51,58,46,61,40,33,11230640
강남구,역삼2동,28,38,36,51,50,33,31,11230650
강남구,일원1동,29,29,29,44,34,26,29,11230730
강남구,일원본동,27,22,21,29,25,22,27,11230720
강남구,청담동,29,39,35,40,38,32,26,11230780
강동구,강일동,67,23,22,26,25,22,32,11250750
강동구,고덕1동,68,24,23,27,23,22,29,11250550
강동구,고덕2동,68,22,23,25,24,21,25,11250560
강동구,길동,69,32,38,36,40,28,32,11250740
강동구,둔촌1동,67,20,20,29,21,20,26,11250700
강동구,둔촌2동,68,27,28,29,30,24,30,11250710
강동구,명일1동,69,37,42,51,43,32,40,11250530
강동구,명일2동,68,28,28,36,32,25,27,11250540
강동구,상일1동,68,23,25,27,26,23,32,11250760
강동구,상일2동,67,21,22,29,24,22,29,11250770
강동구,성내1동,68,40,44,46,43,32,39,11250650
강동구,성내2동,69,29,43,43,47,29,35,11250660
강동구,성내3동,69,43,48,48,46,26,30,11250670
강동구,암사1동,69,27,34,34,43,25,25,11250720
강동구,암사2동,67,29,26,31,27,25,22,11250580
강동구,암사3동,67,21,21,24,22,21,24,11250590
강동구,천호1동,70,29,35,41,40,28,34,11250610
강동구,천호2동,69,27,35,34,37,27,28,11250730
